Generation Number,Generation Time,Training Error,Testing Error,Average Size
1,20.331538403659316,0.015253667304253204,0.013381094392845003,3.0
2,20.426707174161933,0.013880612600790371,0.012616883674617321,3.0
3,20.446990206479278,0.012537920616995045,0.011587244548147684,3.04
4,20.459477121482415,0.01130347026655285,0.010230248877585012,3.08
5,20.450480300781425,0.010798723457962336,0.009941000878751294,3.08
6,20.466473874380714,0.01046336086025077,0.00966436286646169,3.04
7,20.434884514057604,0.009975492789295454,0.009209735795657426,3.04
8,20.459548217135556,0.009767961137461747,0.009117654716057279,3.12
9,20.478075244981916,0.009668993973227718,0.009116320500109599,3.26
10,20.549142745698173,0.009503841312795617,0.008910686631304128,3.36
11,20.488622280879262,0.009370372325892285,0.008845543095696374,3.32
12,20.485012457357733,0.009200192079355119,0.008664906304434143,3.4
13,20.498328922858082,0.009119302154741597,0.0086325706904576,3.52
14,20.57250879588024,0.008998438271481241,0.008513950726049236,3.76
15,20.553213994682082,0.008934879521711282,0.008493919895249563,3.9
16,20.504077163158527,0.008901473956930661,0.008445937322658971,4.02
17,20.54956625559966,0.008880211906415008,0.008446409152936285,4.24
18,20.63290190372159,0.008824116858674996,0.00835698771174861,4.5
19,20.612085075460158,0.008816575444792293,0.008389414865849144,4.6
20,20.61533280768237,0.008806936460553708,0.008411119594792498,4.74
21,20.625141243042812,0.008754888844659362,0.008441302314642796,4.96
22,20.692544423299182,0.008665150218189288,0.008380931430527759,5.16
23,20.70571408158223,0.008611780499284832,0.008378858974786185,5.48
24,20.668030937079173,0.008538569696605004,0.008367226275790438,5.52
25,20.70030591488338,0.00850543155117636,0.008362599733347124,5.76
26,20.80345468297994,0.008439363676239047,0.008330751084013814,6.04
27,20.810766657440478,0.008404881419298894,0.008249214184416053,6.5
28,20.86261657732056,0.008375287965884305,0.008239843247197337,6.72
29,20.868950110896805,0.008362152810414194,0.008212367402971398,6.9
30,20.873382904661675,0.008327462507319304,0.00817564561933634,7.22
31,20.874035228938375,0.008277806620419194,0.008163663980701575,7.38
32,20.970695419759867,0.008257116313309965,0.008145789224592116,7.76
33,21.00961721767854,0.008217980345386212,0.008096601027792683,7.9
34,21.105616506160615,0.008165619510123312,0.008018001524040669,8.38
35,21.054681809817584,0.008141428333401625,0.007992267503754653,8.54
36,21.068259335742187,0.008124564816243665,0.007985084513345946,8.92
37,21.18121336300021,0.008113701350928626,0.00797592073215871,9.32
38,21.226781366060585,0.00808496934405189,0.007985640203780113,9.48
39,21.31521221307823,0.008079095987372668,0.007990380597818763,10.1
40,21.346116507736834,0.008063168719284045,0.007983481024510802,10.22
41,21.374465353139357,0.00804532174243208,0.007965379454145905,10.68
42,21.42547649547831,0.00803043618004681,0.007951377162038054,10.92
43,21.477751234502463,0.008009461515594826,0.00793564607787228,11.46
44,21.511921470742774,0.007964228540736387,0.007929748641172314,11.68
45,21.553605087698635,0.00794495115521952,0.007904729623413816,11.84
46,21.57571194693758,0.0079233106096941,0.007911571169842473,12.3
47,21.63630908569493,0.00792105105295784,0.007914032275873216,12.54
