Generation Number,Generation Time,Training Error,Testing Error,Average Size
1,20.257555730052946,0.049505420628243785,0.049249409485931,3.0
2,20.3136991776799,0.04356355706071634,0.04334537717599325,3.0
3,20.349121317262426,0.04028940692257316,0.04039768043965394,3.0
4,20.28739799675124,0.036974444482376106,0.03694075064150676,3.0
5,20.28514291796996,0.03514867570105067,0.03595405583501225,3.08
6,20.293089857693083,0.03445948273783846,0.03491423453378349,3.16
7,20.2713654385861,0.03296065564952025,0.033362824332403826,3.2
8,20.271798710661365,0.03250915816302212,0.03285118596651835,3.22
9,20.25726111392206,0.032047363805393345,0.03245405367231462,3.24
10,20.25757221462017,0.03177183203419231,0.032346491313588036,3.32
11,20.283357763244727,0.031186853482976055,0.0318392668139589,3.36
12,20.283544267698716,0.030905391356247373,0.03174799526809089,3.38
13,20.321893864080696,0.030653351279055795,0.031417036314833266,3.52
14,20.345427868768496,0.030411790553692638,0.030972622126532866,3.58
15,20.31953123714938,0.03021284943488725,0.030713426191461855,3.78
16,20.373146267252412,0.03003151073137674,0.030537369305103687,4.12
17,20.35232447506063,0.029576535215630445,0.029958882538672307,4.24
18,20.410722039487478,0.02948174073765806,0.029840363899596944,4.28
19,20.394644444754885,0.029257913632402488,0.02977912624744578,4.32
20,20.410492809487227,0.029106437091688597,0.02951344711195314,4.46
21,20.483399959414843,0.02893431109735023,0.029261473656859747,4.68
22,20.47890909835958,0.028809875889189887,0.02925591664946246,4.76
23,20.461108069269255,0.028659273884642213,0.029004086276684805,4.84
24,20.471387103045608,0.028614709525335888,0.028992846209163547,5.06
25,20.482019632915797,0.02855599199514441,0.029011821186916666,5.12
26,20.516589231125614,0.028489470691138337,0.02881674664241252,5.16
27,20.539180951442262,0.02833790346450131,0.0287010004542665,5.36
28,20.561792611487895,0.0282673222007709,0.02859562065375072,5.54
29,20.549136469860695,0.02812842451434664,0.028486030562876588,5.9
30,20.576139047566734,0.028025532352188177,0.028364936096666776,6.18
31,20.60080580853409,0.02792666586201493,0.028398554817175937,6.42
32,20.58368984534091,0.02785530441064934,0.028339372136633997,6.5
33,20.628672670591992,0.027730305883555836,0.02807960914360906,6.66
