generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,15.406310923997808,477.96405349798187,4916.1582721269315,242220.31704723398,6624197.005965811,1.6401227321257252e+16,1631844717961483.5,164670769361557.4,318.44836491096044,3279.76368960954,161536.37910880765,4416412.629266819,1.0935668283743912e+16,1088047343753493.6,109796323467692.8,0.49514563106796117,0.4988176144244106,0.49984049930651875,0.5009257975034673,0.5035367545076282,0.0016002811850755446,0.4998009708737864,3.0,3.0,5.0,7.0,7.0,1.841195263952197,4.9,320.34269891729576,17.89811998276064,-0.13901631704775652,12.834580000000003,7,"multiply(multiply(0.0322, ARG5), division(ARG2, ARG2))"
2,15.555895820998558,477.7697160769544,2321.330603778826,20570.501695412837,591990.4925956024,126077926030.02106,12502322093.767948,1362222983.741435,318.44836491096044,1547.2819063914187,13722.168816920936,394179.221995742,84295132205.38695,8358914769.939278,910585601.7497066,0.49567267683772537,0.49894590846047154,0.5003467406380028,0.5014563106796116,0.5059916782246879,0.0018135241892222886,0.5003411103939798,1.0,3.0,5.0,7.0,9.0,1.9290421984883253,4.96039603960396,320.34269891729576,17.89811998276064,-0.13901631704775652,12.834580000000003,7,"multiply(multiply(0.0322, ARG5), division(ARG2, ARG2))"
3,15.325160591000895,477.7078814429911,2202.312776628487,2406.797565421946,22364.37195920099,24036562954.06859,2392142843.326744,256578010.0580928,318.44836491096044,1467.97973190915,1601.902080459202,14892.810585750021,16026746342.39319,1594997208.2898855,171074068.82300603,0.4951733703190014,0.4988002773925104,0.4999653259361997,0.5012378640776699,0.5047711511789181,0.0019808374205142415,0.5000897364771152,1.0,3.0,5.0,7.0,13.0,2.1354156504062622,5.0,320.34269891729576,17.89811998276064,-0.13901631704775652,12.834580000000003,7,"multiply(multiply(0.0322, ARG5), division(ARG2, ARG2))"
4,15.471118428002228,478.07888924677087,1858.1536763984654,2352.4290117126584,13789.755911842598,12123884863.862461,1630372792.0762026,239351418.0095305,318.44836491096044,1240.191065746481,1564.3632461565403,9190.026539638324,8073929938.156795,1086395044.5664258,159490405.8869227,0.49687933425797504,0.4989736477115118,0.5001664355062413,0.5010679611650486,0.5042024965325936,0.0015509548535161913,0.5000847283063952,1.0,3.0,5.0,7.0,11.0,1.9776220869301224,4.900990099009901,320.34269891729576,17.89811998276064,-0.13901631704775652,12.834580000000003,7,"multiply(multiply(0.0322, ARG5), division(ARG2, ARG2))"
5,15.513298934001796,477.2352881691288,2173.9165804257204,2321.548202646967,2520.7122155312063,1396801037912.644,138297018692.77353,13830854837.029877,318.44836491096044,1450.457935710004,1547.7417349611762,1678.9224086817549,930005400673.2136,92079666846.03046,9208734780.392218,0.4955339805825243,0.49905686546463246,0.5003328710124827,0.5013592233009708,0.5036754507628294,0.0017375143133259538,0.5002309773279686,3.0,3.0,5.0,5.0,9.0,1.6326729671147553,4.485148514851486,320.34269891729576,17.89811998276064,-0.13901631704775652,12.834580000000003,7,"multiply(multiply(0.0322, ARG5), division(ARG2, ARG2))"
6,15.310301713998342,477.4207920710187,2105.3091704134335,2325.4189804271555,2401.663379920338,14646678016785.305,1457325897168.7566,146468422698.8226,318.44836491096044,1404.8568252699408,1548.9336813872035,1601.0848844693269,9758496756581.47,970958057750.5197,97586062685.4714,0.4955894590846047,0.4987135922330097,0.5002427184466018,0.5013800277392509,0.5066851595006935,0.0018892968428283919,0.50009306518724,3.0,3.0,4.0,7.0,11.0,1.8909256992277619,4.62,320.34269891729576,17.89811998276064,-0.13901631704775652,12.834580000000003,7,"multiply(multiply(0.0322, ARG5), division(ARG2, ARG2))"
7,15.46259694499895,477.4207920710187,1839.508154386005,2312.0123322583618,2379.131142516403,19066113.07223769,1959895.5718570303,261228.99477614296,318.44836491096044,1224.01862333285,1543.7917967368874,1587.790467588284,12730753.403485252,1308731.1124453917,174424.60563537662,0.4960748959778086,0.4989736477115118,0.5003467406380028,0.5019140083217754,0.5041747572815534,0.0019183642136394628,0.5003130964968896,3.0,3.0,5.0,7.0,9.0,1.7208365134574597,4.702970297029703,320.34269891729576,17.89811998276064,-0.13901631704775652,12.834580000000003,7,"multiply(multiply(0.0322, ARG5), division(ARG2, ARG2))"
8,15.446188371999597,383.8629917232771,2071.4759623776877,2331.0648747587566,2466.3643130478135,5422390819768.21,536869875870.26794,53692080792.65771,255.58961724383136,1380.0652075126247,1554.9185916083632,1643.4526808261155,3610453789158.9517,357470337595.7704,35750426346.121056,0.4949514563106796,0.49905686546463246,0.5001109570041609,0.5015950069348127,0.5053814147018031,0.001983038359858658,0.5001126048804603,3.0,3.0,5.0,7.0,13.0,2.083823260368522,4.881188118811881,258.66319578460974,16.08300953754022,0.08029244426621795,11.836400000000005,5,"add(multiply(0.0322, ARG5), ARG4)"
9,15.510880039997573,383.9480700979491,1791.1269939074305,2307.728149832744,2701.655406181698,504830535173.08813,49983179930.11319,4998736194.192192,255.58961724383136,1194.5838905850374,1538.5281108393283,1801.8366675827467,336174464182.61096,33284572822.2278,3328736175.495374,0.4966158113730929,0.4988349514563107,0.5001803051317615,0.5013176144244106,0.5040360610263522,0.0016421712833220561,0.5000918691036927,3.0,3.0,5.0,7.0,13.0,2.6110095453665987,5.336633663366337,258.66319578460974,16.08300953754022,0.08029244426621795,11.836400000000005,5,"add(multiply(0.0322, ARG5), ARG4)"
10,15.53340315800233,383.6113015315391,1632.2430558315914,2330.3039324761635,2805.7528780601438,1393618499400.3938,138015429319.34982,14274275553.424744,255.58961724383136,1089.6229278779476,1554.6493028876125,1870.744086226015,930016325346.5665,92102998561.46411,9525303542.130165,0.4948959778085992,0.49907073509015254,0.5001941747572816,0.5013314840499307,0.5048404993065188,0.0020374948878209803,0.5001186470935582,3.0,3.0,5.0,7.0,15.0,2.5161764654907763,5.633663366336633,258.66319578460974,16.08300953754022,0.08029244426621795,11.836400000000005,5,"add(multiply(0.0322, ARG5), ARG4)"
11,15.478049801000452,383.072471825283,1669.6596624832616,2305.5027737433948,2802.6607618394214,4.519262553275163e+25,4.496609465495174e+24,4.5192625532751653e+23,255.58961724383136,1113.9893884709145,1536.696548160813,1867.1591965772282,3.0170262045475857e+25,3.001903170946315e+24,3.0170262045475874e+23,0.4955617198335645,0.49842579750346744,0.4997780859916782,0.5010506241331485,0.5045631067961165,0.0019246906619730941,0.4998148404993065,3.0,3.0,5.0,7.0,17.0,2.9833538174343315,6.14,258.66319578460974,16.08300953754022,0.08029244426621795,11.836400000000005,5,"add(multiply(0.0322, ARG5), ARG4)"
12,15.758728251999855,382.3989346924629,1292.3341747059185,2329.1279429254964,2714.114166683064,2768411.9499694016,318536.64645534055,58623.129934881275,255.58961724383136,860.6012191400824,1554.8169700045942,1808.5398737347637,1847145.1193114365,212456.59819506906,39086.09074940054,0.49614424410540914,0.49875173370319004,0.5000277392510403,0.5013037447988904,0.5039805825242718,0.0016954563126065191,0.49998695431262946,3.0,5.0,7.0,7.0,13.0,2.6689367196339533,6.366336633663367,258.66319578460974,16.08300953754022,0.08029244426621795,11.836400000000005,5,"add(multiply(0.0322, ARG5), ARG4)"
13,15.500498066001455,382.870410685437,1667.177820565923,2349.7219621304143,2874.890931117427,29717902863356.07,2956881856459.173,297302358239.44495,255.58961724383136,1110.392207056865,1567.975116235749,1917.309487711098,19844780510025.586,1974522633430.8943,198530026359.37555,0.4943273231622746,0.49819348127600555,0.4995631067961165,0.5008945908460471,0.5048266296809986,0.0019963922592952247,0.49967434119278786,3.0,5.0,7.0,9.0,13.0,2.4049116407884927,6.58,258.66319578460974,16.08300953754022,0.08029244426621795,11.836400000000005,5,"add(multiply(0.0322, ARG5), ARG4)"
14,15.476469936002104,382.1330647716129,2143.56791012133,2362.475144282332,5936.73877449925,1.6604148178441438e+16,1652088644251617.0,166073835436127.3,255.58961724383136,1430.6695393603027,1577.8182144424527,3965.5799820086095,1.1041967585622702e+16,1098659742374617.1,110441250803976.84,0.4947988904299584,0.498377253814147,0.4995492371705964,0.500748959778086,0.5043689320388349,0.001968026553249655,0.49962690707350904,3.0,5.0,7.0,9.0,13.0,2.678507046845313,7.16,258.66319578460974,16.08300953754022,0.08029244426621795,11.836400000000005,5,"add(multiply(0.0322, ARG5), ARG4)"
15,15.695417792001535,382.47337827030094,1293.050347703816,2336.7646614442565,2878.0097912115025,9938213841.09827,1212159484.1074603,205937859.99705157,255.58961724383136,860.6012191400824,1558.3474271852276,1918.0524651878666,6637935449.27775,808797351.8583002,137338518.58609906,0.49592233009708736,0.4990429958391123,0.5003190013869625,0.5012343966712899,0.503994452149792,0.0015859123369791647,0.50011370346466,1.0,5.0,7.0,9.0,17.0,3.00585971531835,7.336633663366337,258.66319578460974,16.08300953754022,0.08029244426621795,11.836400000000005,5,"add(multiply(0.0322, ARG5), ARG4)"
16,15.532179621997784,382.04798639694087,903.8326867171556,2306.276772408006,4150.152905325673,147013791653.4404,14650021876.85825,1586844049.6839705,255.58961724383136,602.3998261484949,1536.7860665005592,2766.012510077056,98103533478.45412,9776079329.237234,1058919640.9881487,0.49474341192787796,0.4989424410540915,0.5001456310679612,0.5011477115117892,0.5045908460471568,0.00197484198985285,0.4999941747572816,1.0,5.0,7.0,9.0,17.0,3.0688108446106614,7.32,258.66319578460974,16.08300953754022,0.08029244426621795,11.836400000000005,5,"add(multiply(0.0322, ARG5), ARG4)"
17,15.531282249998185,382.98739345061097,1405.908360134527,2313.1420539184746,19569.16588411174,7846114474627.809,801035870193.6886,106071352674.2235,255.58961724383136,937.9821288163347,1540.2124627929145,13049.289853793241,5233791793838.898,534282524829.57825,70721513020.73807,0.4945214979195562,0.49907073509015254,0.5004091539528432,0.5015221914008322,0.5043273231622746,0.0019299348629519672,0.5002407766990291,1.0,5.0,7.0,9.0,19.0,3.6110940170535573,7.4,258.66319578460974,16.08300953754022,0.08029244426621795,11.836400000000005,5,"add(multiply(0.0322, ARG5), ARG4)"
18,15.680556637998961,383.001573179723,1670.7195536873842,2320.6755892084666,18283.605803193255,47670315835.92103,5025743541.330879,697195924.2842509,255.58961724383136,1117.315300116504,1549.0033593866253,12182.199392023304,31824349738.61024,3354180101.4826117,465100848.8368692,0.4936615811373093,0.4989736477115118,0.4999029126213592,0.5011095700416088,0.5047018030513176,0.0019669299236619946,0.4999189794152786,1.0,5.0,7.0,9.0,17.0,3.0691152926439926,7.079207920792079,258.66319578460974,16.08300953754022,0.08029244426621795,11.836400000000005,5,"add(multiply(0.0322, ARG5), ARG4)"
19,15.545287013999769,382.9255691020674,481.36262927612586,1815.3956609158656,2366.1286951667375,276353252108767.12,27495731410682.977,2777666420137.0894,255.58961724383136,320.90799221135927,1209.4879662495468,1577.763285379022,184027906356602.9,18309832571730.477,1849698602693.47,0.49665742024965326,0.499251040221914,0.5003467406380028,0.5014771151178918,0.5042718446601941,0.001614254790647119,0.5003485436893204,3.0,5.0,7.0,9.0,17.0,3.0575153311144656,7.46,258.66319578460974,16.08300953754022,0.08029244426621795,11.836400000000005,5,"add(multiply(0.0322, ARG5), ARG4)"
20,15.543794524000987,382.764062717097,470.27719160421566,2031.3216215653583,13579.53485890794,11835944191611.254,1209934768285.9202,188682604058.9876,255.58961724383136,313.46400451812116,1351.0490036829783,9044.285329878507,7886691584554.836,806210452899.1443,125714387092.8315,0.4954368932038835,0.49900138696255203,0.5000624133148405,0.5011927877947295,0.5044798890429958,0.0018519970213995123,0.5000833564493758,3.0,5.0,7.0,9.0,17.0,2.7477991192952955,7.36,258.66319578460974,16.08300953754022,0.08029244426621795,11.836400000000005,5,"add(multiply(0.0322, ARG5), ARG4)"
