generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,2.7674409939991165,7782367.277188352,9269058.695197683,9317073.181174774,9364973.390100308,15939588285729.434,1858336213060.1184,258674035176.77524,3.0,3.0,3.0,7.0,7.0,1.7545369759569047,4.04,7295730.723828251,2701.0610366721166,-0.5233080095995322,603.102942,3,"multiply(ARG244, ARG483)"
2,2.7716500790011196,6632477.494781436,9025955.994069176,9307315.057117207,9334302.292288821,11428453.043432105,591893.4496702572,9088467.612078657,3.0,3.0,3.0,5.0,9.0,1.6312313129995224,3.9504950495049505,6081983.228068527,2466.167720993146,-0.26988428113275686,1060.192857142857,3,"division(ARG100, ARG577)"
3,2.7519764680000662,6026086.28939817,8765802.059603516,9277382.40648571,9332151.488977397,5516835684.342889,597265728.6767322,95405960.1455939,1.0,3.0,3.0,5.0,9.0,1.499199786552813,3.82,5723022.377962862,2392.2839250312372,-0.19493525151565327,847.0980519999998,3,"multiply(ARG244, ARG493)"
4,2.747167427000022,6000391.898843061,8285979.812067625,9198100.07657532,9336782.15656428,9010794837.04426,914862489.3301284,122266175.24883574,1.0,3.0,3.0,5.0,9.0,1.6351146748775756,4.08,5700416.045741485,2387.5544068652102,-0.19021517504298124,847.245676,5,"multiply(add(ARG265, ARG310), ARG493)"
5,2.7719261499987624,5959881.130187369,7889312.877630429,9080524.666164126,9326835.319893043,7207671841.979644,739989953.1459453,117926005.50965379,3.0,3.0,3.0,5.0,9.0,1.4218869759220787,3.910891089108911,5712457.09670987,2390.074705257112,-0.19272927953483565,782.9222179999999,5,"multiply(ARG244, add(ARG287, ARG477))"
6,2.7800503190010204,5753463.370779881,8041579.016525316,9027174.49165558,9316050.943781588,24729014767468.062,2448411446123.487,244900392719.4474,1.0,3.0,3.0,5.0,7.0,1.3661931335176507,3.9306930693069306,5603105.581970742,2367.0879962457548,-0.16989729127080766,783.0842796000001,7,"multiply(add(ARG548, ARG477), multiply(ARG295, ARG493))"
7,2.787524155999563,5767575.373160995,7213955.947915321,8779587.11672934,9336043.915427819,2140167132375.935,211888443103.99347,21290313248.734352,1.0,3.0,5.0,5.0,13.0,1.6951235294283324,4.326732673267327,5603105.581970742,2367.0879962457548,-0.16989729127080766,783.0842796000001,7,"multiply(add(ARG548, ARG477), multiply(ARG295, ARG493))"
8,2.7903369480009133,5767104.973081624,7506455.2987117,8956838.89625366,17911794.77320351,26463607503.882725,2939496530.537736,555085974.9988277,1.0,3.0,3.0,5.0,13.0,1.8081712817047957,4.326732673267327,5603105.581970742,2367.0879962457548,-0.16989729127080766,783.0842796000001,7,"multiply(add(ARG548, ARG477), multiply(ARG295, ARG493))"
9,2.7875762390012824,5723122.565660488,7276154.059731218,8631326.502517644,9235641.478007182,13893815555.788471,1423057885.560024,194977161.90350792,3.0,3.0,3.0,5.0,9.0,1.5903344954662386,4.366336633663367,5603105.581970742,2367.0879962457548,-0.16989729127080766,783.0842796000001,7,"multiply(add(ARG548, ARG477), multiply(ARG295, ARG493))"
10,2.7725582670009317,5631686.849001,6011819.343939116,7959365.558010475,9076337.741321653,497710100.7785361,56231852.04888577,19364388.868000604,3.0,3.0,5.0,7.0,13.0,1.9319420281157507,4.74,5577744.439208288,2361.724886435397,-0.1646020256743861,771.4454138400001,9,"multiply(add(ARG483, ARG448), multiply(ARG295, add(ARG269, ARG477)))"
11,2.803640150999854,5621542.988621269,5973745.844268696,8051250.411939981,9096204.091779634,1501908360.7648847,169914007.0798409,41177435.10261496,3.0,3.0,5.0,7.0,11.0,2.0932107448676,5.415841584158416,5577744.439208288,2361.724886435397,-0.1646020256743861,771.4454138400001,9,"multiply(add(ARG483, ARG448), multiply(ARG295, add(ARG269, ARG477)))"
12,2.8146650580001733,5660043.549607972,5978471.307835283,8025104.594648757,9052777.702893538,701332354204.3583,69436351016.45805,6969083692.471583,3.0,3.0,5.0,7.0,15.0,2.473900623642205,5.8316831683168315,5577744.439208288,2361.724886435397,-0.1646020256743861,771.4454138400001,9,"multiply(add(ARG483, ARG448), multiply(ARG295, add(ARG269, ARG477)))"
13,2.8230376909996266,5638075.432050825,5972617.952008249,7862783.821861784,8861865.347272586,1342412365.4167128,150551929.76544598,39941178.69634507,3.0,5.0,7.0,7.0,11.0,2.190245818938529,6.069306930693069,5532065.34745524,2352.0342998041588,-0.15506448530007,830.3508911200001,9,"multiply(add(ARG483, ARG448), multiply(ARG295, add(ARG295, ARG477)))"
14,2.790023593999649,5623848.411434844,5969968.121053009,7510600.583398487,8825626.969562342,1217610287.4625053,124411983.36229485,26604364.14920482,3.0,5.0,7.0,9.0,17.0,2.940680193424644,6.82,5532065.34745524,2352.0342998041588,-0.15506448530007,830.3508911200001,9,"multiply(add(ARG483, ARG448), multiply(ARG295, add(ARG295, ARG477)))"
15,2.7918257390010695,5439253.436276202,5927102.968907714,7814878.073794664,8916367.201057926,138667108.72602165,14712096.466981132,10355001.55424788,3.0,5.0,7.0,9.0,19.0,3.2362941769870055,7.08,5334230.144150949,2309.5952338344805,-0.11375759484838333,917.071563196318,19,"multiply(add(ARG483, ARG269), multiply(ARG295, add(add(division(add(ARG497, ARG5), add(ARG549, ARG107)), add(ARG287, ARG477)), ARG477)))"
16,2.830377762000353,5459556.650628765,5815866.5177311115,7097903.219016757,8784684.92057643,1376584812.523214,169846895.86428162,38593952.17195932,3.0,5.0,7.0,11.0,19.0,3.90566137364867,8.287128712871286,5334230.144150949,2309.5952338344805,-0.11375759484838333,917.071563196318,19,"multiply(add(ARG483, ARG269), multiply(ARG295, add(add(division(add(ARG497, ARG5), add(ARG549, ARG107)), add(ARG287, ARG477)), ARG477)))"
17,2.846000813999126,5476066.956805575,5773278.477605939,7523065.602612495,8349075.674939083,24546961139.988678,2430121353.442964,265879368.8722669,3.0,5.0,7.0,9.0,23.0,4.344899216444349,8.425742574257425,5334230.144150949,2309.5952338344805,-0.11375759484838333,917.071563196318,19,"multiply(add(ARG483, ARG269), multiply(ARG295, add(add(division(add(ARG497, ARG5), add(ARG549, ARG107)), add(ARG287, ARG477)), ARG477)))"
18,2.8758924630001275,5432817.21264028,5651315.860475134,7698805.611029366,8967324.268583992,2229639260.5900755,302222919.5667523,68303277.79600024,3.0,7.0,9.0,13.0,25.0,5.539530963339291,9.871287128712872,5362559.721908005,2315.7201303067704,-0.11967265316666142,890.1370907777871,17,"multiply(add(ARG483, ARG269), multiply(ARG295, add(add(division(add(ARG497, ARG5), add(ARG549, ARG107)), ARG477), ARG477)))"
19,2.8798459699992236,5444408.649332274,5855907.596168672,7546494.174625132,8843424.082918707,1.274950732504164e+21,1.2623274579248793e+20,1.2623274579284806e+19,3.0,7.0,9.0,15.0,21.0,5.328462305223011,10.94059405940594,5362559.721908005,2315.7201303067704,-0.11967265316666142,890.1370907777871,17,"multiply(add(ARG483, ARG269), multiply(ARG295, add(add(division(add(ARG497, ARG5), add(ARG549, ARG107)), ARG477), ARG477)))"
20,2.9156287439982407,5373091.862386828,5603771.808149684,6432043.391026599,8236083.72825353,355189428.89636815,35377935.73004053,12150995.176928284,1.0,7.0,11.0,19.0,33.0,6.549158818301069,12.801980198019802,5145366.755239301,2268.3400880906947,-0.07432396935702723,897.3100310735485,23,"multiply(add(ARG483, ARG269), multiply(ARG295, add(add(division(add(add(add(ARG448, ARG173), ARG477), ARG5), add(ARG549, ARG107)), add(ARG287, ARG477)), ARG295)))"
21,2.9032630450001307,5370024.153644387,5682413.376632005,7142430.7002982255,8262386.70299071,23793812379.34545,2366447230.353461,248743610.030664,1.0,9.0,13.0,19.0,33.0,6.949503579393279,14.62,5145366.755239301,2268.3400880906947,-0.07432396935702723,897.3100310735485,23,"multiply(add(ARG483, ARG269), multiply(ARG295, add(add(division(add(add(add(ARG448, ARG173), ARG477), ARG5), add(ARG549, ARG107)), add(ARG287, ARG477)), ARG295)))"
22,2.946271478000199,5348498.308113605,5644918.647285435,6520024.401173284,8867176.120020593,1395865457.794782,143991166.60849217,30469813.92196541,1.0,11.0,17.0,23.0,37.0,7.4435430214702984,16.801980198019802,5215581.138159675,2283.764685373621,-0.08898434210658102,847.678971986305,23,"multiply(add(ARG483, ARG269), multiply(ARG295, add(add(division(add(add(add(ARG448, ARG549), ARG477), ARG5), add(ARG549, ARG107)), add(ARG287, ARG477)), ARG295)))"
23,2.9841908130001684,5287628.602978078,5566319.00279101,6253838.060839998,9149275.742934942,2136477905.9286203,264069548.07075432,54142534.926980756,1.0,13.0,19.0,25.0,39.0,8.069106478710525,18.603960396039604,5108137.99061241,2260.119021337684,-0.06655081030135945,800.1986706583987,33,"multiply(add(ARG483, ARG269), multiply(ARG295, add(add(division(add(add(add(division(add(ARG493, ARG295), add(ARG549, ARG107)), add(ARG287, ARG477)), ARG477), ARG5), add(ARG549, ARG107)), add(ARG287, add(ARG424, ARG26))), ARG295)))"
24,2.987649954000517,5298241.981707634,5605028.6909843,6418509.71965852,8824764.993659649,4110636244.2214227,457679052.9967108,75613188.25635917,3.0,13.0,19.0,25.0,43.0,8.51273287020788,19.534653465346533,5108137.99061241,2260.119021337684,-0.06655081030135945,800.1986706583987,33,"multiply(add(ARG483, ARG269), multiply(ARG295, add(add(division(add(add(add(division(add(ARG493, ARG295), add(ARG549, ARG107)), add(ARG287, ARG477)), ARG477), ARG5), add(ARG549, ARG107)), add(ARG287, add(ARG424, ARG26))), ARG295)))"
25,2.994367584000429,5313187.351755376,5579926.42207444,6714462.6601945665,8383942.734035134,675554423.016355,80908180.76701596,20869551.021880724,5.0,15.0,23.0,27.0,35.0,7.971423963132309,20.58,5108137.99061241,2260.119021337684,-0.06655081030135945,800.1986706583987,33,"multiply(add(ARG483, ARG269), multiply(ARG295, add(add(division(add(add(add(division(add(ARG493, ARG295), add(ARG549, ARG107)), add(ARG287, ARG477)), ARG477), ARG5), add(ARG549, ARG107)), add(ARG287, add(ARG424, ARG26))), ARG295)))"
26,2.9831596740004898,5278742.062653155,5595854.567423754,6353383.710602995,7930928.59425079,92549885343.85078,9207414633.07423,937887495.362319,5.0,15.0,23.0,29.0,37.0,8.060049627638778,21.34,5356467.341565351,2314.404316787659,-0.11840059802581293,783.2737322752974,23,"multiply(add(ARG269, ARG269), multiply(ARG295, add(add(division(add(add(add(ARG448, ARG173), ARG477), ARG5), add(ARG549, ARG107)), add(ARG287, ARG477)), ARG295)))"
27,2.9843852009998955,5262147.666522499,5619967.512145463,6266397.109983239,7879611.0189271085,27391472238489.15,3594604950927.544,512277290194.4543,3.0,15.0,23.0,29.0,41.0,8.858419723630169,21.22,5356467.341565351,2314.404316787659,-0.11840059802581293,783.2737322752974,23,"multiply(add(ARG269, ARG269), multiply(ARG295, add(add(division(add(add(add(ARG448, ARG173), ARG477), ARG5), add(ARG549, ARG107)), add(ARG287, ARG477)), ARG295)))"
28,3.0348287649994745,5275572.13892274,5588735.929200981,6267554.377766577,8448390.193102807,95642192492.68484,9467075829.728373,984784624.878067,1.0,19.0,23.0,27.0,51.0,8.51471333067751,22.584158415841586,5377883.829385846,2319.026483114379,-0.12287224160332322,766.7743137490028,25,"multiply(add(ARG269, ARG269), multiply(ARG295, add(add(division(add(add(add(add(ARG173, ARG269), ARG173), ARG477), ARG5), add(ARG549, ARG107)), add(ARG287, ARG477)), ARG295)))"
29,3.0069658100001107,5254647.078843048,5537715.161268425,5935148.410148445,7376936.232694939,1300738132.1259177,133428054.24399936,23570876.495750114,1.0,18.5,23.0,25.5,45.0,8.296963299906778,22.02,5297559.27058192,2301.6427330456654,-0.10610092034362562,786.0450358751755,25,"multiply(add(ARG269, ARG269), multiply(ARG295, add(add(division(add(add(add(ARG448, ARG173), add(ARG173, ARG477)), ARG5), add(ARG549, ARG107)), add(ARG287, ARG477)), ARG287)))"
