generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,2.7504068489997735,6845827.81027465,9267966.718131214,9317588.608106904,9361044.983079102,8374429617.545662,940045315.4178689,179986179.48309383,3.0,3.0,3.0,3.0,7.0,1.70833252032501,3.96,6535241.133401091,2556.4117691407014,-0.3645220115731569,875.7857142857143,3,"division(ARG476, ARG577)"
2,2.7122660860004544,6176469.267887577,9155513.268864311,9294313.301212186,9332817.036526935,777211416.9788586,76695389.94929838,17673456.10459157,3.0,3.0,3.0,5.0,7.0,1.5315351775261317,3.88,6091913.00609672,2468.1801000122987,-0.271957563573745,756.7855,3,"multiply(ARG57, ARG479)"
3,2.7224314730001424,6155318.700480217,8389575.609020652,9226512.996204412,9327557.028680764,2762538624.9874573,275423533.7894388,40798518.81938073,3.0,3.0,3.0,5.0,9.0,1.4798648586948744,3.9,6091913.00609672,2468.1801000122987,-0.271957563573745,756.7855,3,"multiply(ARG57, ARG479)"
4,2.7443961870003477,6170174.456159197,8570480.995062983,9236629.551692534,9322594.342021743,5069189483731.086,501987819424.2831,51803045750.78002,3.0,3.0,3.0,5.0,9.0,1.669249379461988,4.188118811881188,6091913.00609672,2468.1801000122987,-0.271957563573745,756.7855,3,"multiply(ARG57, ARG479)"
5,2.728932232000261,6146254.171591348,8020181.431516549,9155251.103115,9329620.604334049,53232109610.51701,5650969341.999046,821583812.0951561,3.0,3.0,3.0,5.0,13.0,1.8645106596638163,4.06,6091913.00609672,2468.1801000122987,-0.271957563573745,756.7855,3,"multiply(ARG57, ARG479)"
6,2.756805433000409,5877735.772261881,8006262.341982466,9086121.365330035,9310168.018202903,889944212.3864926,87278207.36065139,17928907.389186442,3.0,3.0,3.0,5.0,13.0,1.7457217299433023,3.891089108910891,5665084.994838614,2380.1439021283177,-0.18283824806126936,813.8362770000001,3,"multiply(ARG177, ARG444)"
7,2.7478527660005057,5890950.106282255,7909882.9336067485,9048889.69401223,9325437.230638422,401087801.945032,39938183.87547706,14235396.717177814,3.0,3.0,3.0,3.0,11.0,1.500775867049221,3.6930693069306932,5665084.994838614,2380.1439021283177,-0.18283824806126936,813.8362770000001,3,"multiply(ARG177, ARG444)"
8,2.744118408000759,5842417.461334703,7851742.032534922,9010354.27009288,9336679.851393452,2014697846.724742,315895847.2486693,64250636.07592384,3.0,3.0,3.0,3.0,9.0,1.2505072003047082,3.613861386138614,5665084.994838614,2380.1439021283177,-0.18283824806126936,813.8362770000001,3,"multiply(ARG177, ARG444)"
9,2.7202203449996887,5838092.770200763,7570087.2211539075,9043715.916185062,9328297.184015097,1957592550.2566926,206308594.46380663,36835784.38494837,3.0,3.0,3.0,5.0,9.0,1.3533661736573737,3.78,5665084.994838614,2380.1439021283177,-0.18283824806126936,813.8362770000001,3,"multiply(ARG177, ARG444)"
10,2.7429415500000687,5808302.251745179,6623067.875299515,8448200.68271037,9285561.875274017,4556896615.531411,556438215.7190584,123499871.41434535,3.0,3.0,3.0,5.0,11.0,1.4852805221860732,3.7524752475247523,5688220.302642388,2384.9990152288087,-0.18766877169434948,773.2859276510001,5,"multiply(multiply(ARG198, ARG479), ARG479)"
11,2.7536582239999916,5775833.775798994,6565131.52599569,8196535.131434636,9240906.313464096,1185499638.2828236,120323860.72644867,25785813.0173988,1.0,3.0,3.0,5.0,11.0,1.9401898952738048,3.910891089108911,5688220.302642388,2384.9990152288087,-0.18766877169434948,773.2859276510001,5,"multiply(multiply(ARG198, ARG479), ARG479)"
12,2.753055705999941,5750747.120908413,6109376.524303813,7904271.273577407,9017400.53216714,127346178502.13681,13037408507.475744,1748790089.4670177,3.0,3.0,3.0,5.0,13.0,2.5508455573678654,4.524752475247524,5488267.03436602,2342.705067729615,-0.1459196410533039,898.4433999999999,7,"multiply(ARG444, subtract(add(ARG177, ARG479), ARG399))"
13,2.7642670320001343,5760165.69703896,6124126.829780506,7889270.304322175,8847074.647080764,93802799977.518,9285147221.794195,961074524.0815355,3.0,3.0,3.0,7.0,13.0,2.98228603541966,5.237623762376238,5488267.03436602,2342.705067729615,-0.1459196410533039,898.4433999999999,7,"multiply(ARG444, subtract(add(ARG177, ARG479), ARG399))"
14,2.7585056879997865,5750276.1921018865,5966587.581891618,7877342.264061471,8699006.534771446,1769198017173426.5,175167936528716.66,17518660004974.59,3.0,3.0,5.0,7.0,15.0,3.0364901650263474,5.4950495049504955,5488267.03436602,2342.705067729615,-0.1459196410533039,898.4433999999999,7,"multiply(ARG444, subtract(add(ARG177, ARG479), ARG399))"
15,2.751306497999394,5759459.303829169,5970869.043437964,7928293.001115475,9289547.130469035,192959373008.37207,19196846898.64145,1954538803.8348315,3.0,3.0,7.0,9.0,15.0,3.5242587873196825,6.86,5488267.03436602,2342.705067729615,-0.1459196410533039,898.4433999999999,7,"multiply(ARG444, subtract(add(ARG177, ARG479), ARG399))"
16,2.767222982999556,5562555.037889928,6138373.059714078,7844523.368805398,9059315.25543137,3096466310.6792817,307328801.55355626,42572349.76048905,1.0,3.0,5.0,9.0,17.0,3.5408473562129164,6.68,5080460.3017976675,2253.987644553019,-0.06077186276962032,1156.1937396539438,11,"multiply(multiply(subtract(ARG265, subtract(ARG265, ARG479)), ARG463), division(ARG444, ARG505))"
17,2.756050363999748,5567110.401937009,5973030.579429418,8035362.442500405,9313093.291934194,40931792549.39474,4079039906.0214887,462379565.4098864,1.0,3.0,5.0,9.0,17.0,3.789459064299283,6.8,5080460.3017976675,2253.987644553019,-0.06077186276962032,1156.1937396539438,11,"multiply(multiply(subtract(ARG265, subtract(ARG265, ARG479)), ARG463), division(ARG444, ARG505))"
