generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,1.9448037800000293,0.023865062345072203,0.024815981894095826,0.024815982572885295,0.024846655441569186,0.9748159759182815,0.059959484605752525,0.028677830777100937,4914043.261831318,6181932.245849568,6221984.758599799,6225634.101643104,186748318506293.66,11787250715143.826,748834105118.0226,0.47730061349693254,0.496319018404908,0.496319018404908,0.496319018404908,0.5141104294478527,0.004129935221838247,0.49736932515337423,3.0,3.0,3.0,7.0,7.0,1.762924842413879,4.064,8369852.427991966,2893.0697240114982,-0.7475786491248249,950.0000363398502,3,"div(ARG329, ARG616)"
2,1.893047058000036,0.02410989162984332,0.0245924535878767,0.024593990328653757,0.024808544904087404,0.9745576499472273,0.06972206471562126,0.031045658655265127,4263230.105702389,6157450.6254344275,6217237.639558083,6225595.762533029,51191685231.37222,3757561607.763232,344799216.0099042,0.47975460122699387,0.4895705521472392,0.4895705521472392,0.49202453987730066,0.5134969325153375,0.00675885523119227,0.49292889790531125,3.0,3.0,3.0,7.0,9.0,1.8392744302239727,4.266932270916334,8340046.065295914,2887.9137911814323,-0.7413552463224664,940.267,3,"add(ARG400, ARG242)"
3,1.874469772999987,0.024417565286599406,0.02533445753544685,0.025337582881162255,0.025337766392872794,0.975332838599849,0.05985292346362347,0.02920086743220846,4263230.105702389,6073026.5788031295,6209591.842030886,6225390.014151603,376659868700.91504,23728604227.70441,1564265117.4850595,0.4880368098159509,0.506441717791411,0.506441717791411,0.506441717791411,0.5156441717791411,0.003908902302062926,0.5051096228582601,1.0,3.0,3.0,5.0,13.0,1.7877395676390324,4.187250996015936,8375343.063811915,2894.018497489592,-0.748725063355137,949.828,3,"sub(ARG107, ARG21)"
4,1.879069909000009,0.02414505696914079,0.02497715922412557,0.025371918079955435,0.02537201974533453,0.9753708591545481,0.060246499933989506,0.029427692213738945,4376733.680584605,6163079.070356647,6219163.61932704,6227587.050523581,1505945871732.4543,95484711844.19106,6718860637.196563,0.48282208588957054,0.49938650306748467,0.507361963190184,0.507361963190184,0.5214723926380368,0.006948831876187845,0.5037840490797546,1.0,3.0,3.0,5.0,13.0,2.1056267475504766,4.344,8372720.823474533,2893.5654171755878,-0.7481775541528053,950.9797330696985,7,"div(sub(ARG291, ARG397), sub(ARG168, ARG397))"
5,1.9266696299999921,0.024492060303277097,0.02501399906143008,0.025226259269613367,0.02522819774274814,0.9752386377213832,0.07063797696618322,0.0332599940962452,4538352.479942497,6194361.210591951,6224945.726129429,6245311.094021805,78984976907.26862,5871669599.378567,680848122.7910237,0.48834355828220855,0.49877300613496933,0.5030674846625767,0.5030674846625767,0.5116564417177915,0.003956650951908824,0.5014110429447852,1.0,3.0,3.0,5.0,17.0,2.3930031341391933,4.744,8369527.245351676,2893.013523188524,-0.7475107527976044,949.968662464986,7,"div(sub(ARG94, ARG370), sub(ARG97, ARG42))"
6,1.9596319099999846,0.023917828628422427,0.024441470009167528,0.02517549701623406,0.025574234163639478,0.9744378942560323,0.05985285178355591,0.028974040423211334,4935200.629576965,6207482.582692017,6225785.621725555,6258303.782563246,871637495349.014,54945888002.130516,3642681645.782726,0.47822085889570554,0.4886503067484663,0.5015337423312883,0.5113496932515337,0.5174846625766871,0.010990868719030038,0.5000769926429252,1.0,3.0,5.0,7.0,19.0,2.8161666764042383,5.47808764940239,8369728.954777323,2893.0483844514806,-0.7475528686041399,949.721,5,"sub(div(ARG132, ARG163), ARG370)"
7,1.9380847290000247,0.024299855146993822,0.025036152299378514,0.0251425280327329,0.025158757252570076,0.9750198286462299,0.0598364460404126,0.028952711449088633,5188243.5933358185,6217253.853417199,6228678.201959237,6286479.790512219,60721278830.79442,3824527402.211121,251741799.8480978,0.4840490797546012,0.49846625766871167,0.49938650306748467,0.5012269938650307,0.5245398773006135,0.004925987937916527,0.5002761958301762,1.0,3.0,5.0,7.0,21.0,2.5671719033604803,5.294820717131474,8368578.031202798,2892.8494657003494,-0.747312562161115,949.833625,7,"sub(div(ARG132, ARG163), mul(ARG291, ARG388))"
8,1.9540922799999976,0.02451114376399922,0.024908319816984888,0.025184544261568357,0.025312410942589934,0.9748907408943696,0.05982874906760824,0.028922734664315095,5202157.995550289,6208515.715695627,6225998.200447585,6258113.951320564,54839250808.1603,3454092119.3670793,225288278.89050055,0.4880368098159509,0.4960122699386502,0.5009202453987731,0.5039877300613498,0.5113496932515337,0.004582182950836512,0.5003922958472857,1.0,3.0,5.0,7.0,23.0,2.423358968002596,5.199203187250996,8364362.559423936,2892.120771929128,-0.746432395092447,948.7051909892263,9,"div(sub(ARG291, ARG323), sub(div(ARG388, ARG388), ARG502))"
9,1.9103131500000359,0.03577471722860603,0.03950285877677523,0.0397892238024743,0.04080571403377059,0.986817662013882,0.060121888296230275,0.04425376603985111,4596510.029084797,6130992.937353812,6222222.895172752,6237562.223871352,390112249.1833091,24379234.089017462,7896845.8066644855,0.4711656441717791,0.4889570552147239,0.4889570552147239,0.5072085889570552,0.5245398773006135,0.01033237130561126,0.495882208588957,1.0,3.0,5.0,7.0,25.0,2.484949898891324,5.032,6724525.9656566,2593.1690970040113,-0.4040436320914127,563.785937,7,"mul(add(ARG97, ARG3), add(ARG554, ARG484))"
10,1.922273844000017,0.02423714728267451,0.025195733552665196,0.025646783874917527,0.02564810512705391,0.9756426170226469,0.05998247463944853,0.02918711270324389,4432943.571618288,6087652.1397026405,6214413.589948101,6227588.619276726,305554617707.1067,19285704449.693897,1238261353.8392527,0.4843558282208589,0.5035276073619632,0.5125766871165645,0.5125766871165645,0.5150306748466258,0.00935517318435075,0.5067435582822087,1.0,3.0,5.0,7.0,13.0,2.4976917343819673,5.256,8369811.547940028,2893.0626588340647,-0.7475701135972803,949.870256,5,"mul(sub(ARG291, ARG525), ARG341)"
11,1.9284615290000033,0.024442155559719667,0.02505612613266761,0.025198655837984182,0.02520899978615571,0.9751725477022729,0.06082832753893814,0.02961230995597169,4507833.059445329,6185340.649620502,6224796.654648757,6250000.337276146,44678148984.07725,2860152870.6053085,216166336.71233976,0.4861963190184049,0.49846625766871167,0.5015337423312883,0.5015337423312883,0.5242331288343558,0.004353493887594182,0.5003092024539877,1.0,3.0,5.0,7.0,15.0,2.630881221188064,5.408,8368049.11078584,2892.7580456695373,-0.7472021265189439,948.68242,5,"mul(sub(ARG291, ARG1), ARG341)"
12,1.928514751000023,0.023606648958207747,0.0238520484071363,0.024925674305139235,0.026061480333310967,0.9760908556273574,0.06004381111746554,0.02875425705581002,5011929.127763887,6201348.167686384,6225964.269331314,6250480.156186993,2507854234101.957,158292419339.50897,10042148980.018059,0.4720858895705522,0.47699386503067487,0.49846625766871167,0.5211656441717791,0.5266871165644171,0.02063062230489221,0.49900368098159514,1.0,3.0,5.0,7.0,15.0,2.5656936683867775,5.096,8368049.11078584,2892.7580456695373,-0.7472021265189439,948.68242,5,"mul(sub(ARG291, ARG1), ARG341)"
13,1.9368475339999804,0.02435377690246611,0.024930887968751283,0.024936564841878055,0.02524336324185927,0.9750604676718255,0.059967489497125936,0.02892767600436128,5011929.127763887,6134286.922327662,6217872.430413246,6233784.837019585,39090840688.9274,2467147739.4518976,165246147.72959816,0.4840490797546012,0.49570552147239266,0.49570552147239266,0.5012269938650307,0.5134969325153375,0.004365423459040335,0.4982257668711656,1.0,3.0,5.0,7.0,13.0,2.5036421469531143,5.424,8370122.048547468,2893.1163212956835,-0.7476349443976762,950.001,3,"add(ARG144, ARG329)"
14,2.023249426999996,0.024968573002520707,0.025500389033373295,0.02552396410716773,0.02592795317008853,0.9762087374821525,0.07769586297630805,0.03371630445133059,5106632.315032386,6097815.794291663,6217858.565829861,6227844.813479933,6110235677.152216,499144320.43364084,57466684.12492767,0.48006134969325154,0.49110429447852755,0.49110429447852755,0.498159509202454,0.5193251533742331,0.0075729503050495865,0.4954818761762764,1.0,3.0,5.0,7.0,13.0,2.4363714370500538,5.557768924302789,8387105.895461453,2896.0500505794876,-0.7511810772001641,945.09326,5,"mul(sub(ARG291, ARG132), ARG341)"
15,1.9495046659999957,0.025821516174714156,0.026645118299596662,0.0267086640495655,0.02676216295961516,0.9763841738172668,0.061783220338384244,0.03249645627465982,5045344.647208637,6068179.297709728,6211697.431627832,6228038.838510112,3429867722.5387015,222734389.33654717,26996986.203834202,0.48190184049079754,0.49969325153374233,0.5003067484662577,0.5003067484662577,0.5199386503067485,0.004937658094894776,0.500157055214724,1.0,3.0,5.0,7.0,15.0,2.5854237563695435,5.672,8387105.895461453,2896.0500505794876,-0.7511810772001641,945.09326,5,"mul(sub(ARG291, ARG132), ARG341)"
16,1.9723664549999853,0.0241916721817592,0.024559269055930276,0.024561040446914838,0.02517453192849836,0.9745453991041795,0.06750804703298692,0.03208512986882388,4774007.80555098,6088957.510710554,6214481.33484263,6228043.563393907,88010769009.6453,6254246855.501554,681818802.565589,0.4825153374233129,0.4898773006134969,0.4898773006134969,0.499079754601227,0.5138036809815951,0.008227862993841081,0.49450174761078375,1.0,3.0,5.0,7.0,15.0,2.8124894071146826,5.804780876494024,8288530.526942198,2878.980813923948,-0.7305990883495923,934.579,3,"sub(ARG97, ARG1)"
17,1.9861139259999732,0.023927020967368817,0.024813124453547726,0.02481568416997898,0.02487721454414164,0.9754235644085307,0.059918215613458156,0.028873594377702972,3859160.1954817516,6032851.490312733,6208905.642029157,6227652.719626418,387798474901.4014,24444451208.28503,1639463045.6002536,0.47822085889570554,0.4960122699386502,0.4960122699386502,0.49662576687116566,0.5150306748466258,0.004477264644795234,0.49714638378999343,1.0,3.0,5.0,7.0,17.0,3.3558400607438723,5.964143426294821,8696323.023965416,2948.952869064783,-0.8157438943306039,915.6796815920399,7,"add(div(ARG242, mul(ARG348, ARG621)), ARG291)"
18,1.9963934350000159,0.023545595893037986,0.02383940635939802,0.023862294669795888,0.024989714614301335,0.9761075971391916,0.060078709995930735,0.02834735320797227,4385589.626509051,6029966.369481053,6209934.7448939495,6234328.593263827,14917284210.69208,941196506.694664,67554282.1086682,0.46319018404907975,0.4693251533742331,0.4693251533742331,0.4794478527607362,0.5355828220858896,0.02126168108097879,0.4808785276073619,1.0,3.0,5.0,8.5,17.0,3.4689479673238113,6.32,8208571.099797264,2865.060400724087,-0.7139040045500966,914.4351379107982,7,"add(div(ARG473, ARG592), mul(ARG212, ARG370))"
19,1.9696481550000158,0.024577582826675857,0.025046478960618773,0.0251200527835723,0.02526906128509351,0.9749832910378169,0.07843769754094097,0.033214585887084556,4274190.14477359,5932392.539879814,6152452.735796242,6225503.664479759,12665013033.508446,1045459483.7360547,112250249.77437776,0.4822085889570552,0.4932515337423313,0.4932515337423313,0.495398773006135,0.5251533742331288,0.006821110780871679,0.4958375088602644,1.0,3.0,5.0,7.0,21.0,3.393318564354428,6.258964143426295,8369706.48567934,2893.044501157792,-0.747548177181413,950.353,5,"add(ARG362, sub(ARG138, ARG370))"
20,1.9958711769999695,0.03203973358861199,0.03456590799482456,0.034920056322559054,0.035139948911066414,0.9820090587419861,0.08820874949367447,0.04585557399736427,4274190.14477359,5876665.551921699,6137788.455858078,6224540.580505061,592604968.4556742,54623314.8831729,12876022.999181295,0.4812883435582822,0.5021472392638036,0.5021472392638036,0.502760736196319,0.5223926380368098,0.004771789079460292,0.501283435582822,1.0,3.0,5.0,9.0,19.0,3.3769477342712904,6.168,6723379.1924764095,2592.9479733454755,-0.40380419222764785,523.2330000000001,7,"sub(mul(ARG189, ARG481), add(ARG99, ARG388))"
