generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,2.740838857000199,7573876.2122250395,9282272.148627203,9319119.40067277,9351700.67582168,1840656311061.7642,186115099160.50208,22469755434.016727,3.0,3.0,3.0,3.0,7.0,1.6292329483533041,3.84,7075913.019566439,2660.0588376136416,-0.47741129517445624,588.864998,3,"multiply(ARG390, ARG616)"
2,2.73688250500345,7032269.7694646735,8934950.683190824,9290777.111833492,9335525.48608207,1312400865165.1663,129939661789.55478,13004253252.921778,1.0,3.0,3.0,3.0,9.0,1.339527487151506,3.514851485148515,7033283.027248324,2652.0337530371526,-0.46851038980862914,787.3040000000001,3,"multiply(ARG50, ARG96)"
3,2.7512632370016945,7054207.726220248,8438529.578810051,9118141.632182455,9311320.04339341,44998303.8158344,3635501.821371211,9218078.05274017,1.0,3.0,3.0,3.0,9.0,1.9379654858866284,3.871287128712871,7033283.027248324,2652.0337530371526,-0.46851038980862914,787.3040000000001,3,"multiply(ARG50, ARG96)"
4,2.7623163209973427,6754196.73747161,7996522.298933838,8485854.725333067,9284990.54468757,7027297618.202726,727714830.488688,102676684.61413988,1.0,3.0,3.0,5.0,15.0,2.402658397639472,4.544554455445544,6647685.549230042,2578.310599836653,-0.38799978038767,677.913,3,"multiply(ARG461, ARG191)"
5,2.770495988002949,6747832.945535112,8421480.767508268,8891703.021612793,9336361.647840386,23559660461.57137,2732482372.8456364,540216710.662777,1.0,3.0,3.0,5.0,11.0,2.0819406840872388,4.267326732673268,6647685.549230042,2578.310599836653,-0.38799978038767,677.913,3,"multiply(ARG461, ARG191)"
6,2.739249029997154,6761667.2758318465,7750762.489102448,8643439.358239394,9303366.147349615,13372741329.171528,1752978339.195593,394884638.946228,1.0,3.0,3.0,5.0,13.0,2.381260170581955,4.36,6647685.549230042,2578.310599836653,-0.38799978038767,677.913,3,"multiply(ARG461, ARG191)"
7,2.756881422999868,6445112.576426027,7842270.542309544,8762679.424885478,9331052.253005426,165955402337.29953,18712097507.267128,3883676485.391027,3.0,3.0,3.0,5.0,17.0,2.2562095038715397,4.1683168316831685,6328605.203934647,2515.671918978039,-0.32137757843238557,806.4159999999999,3,"multiply(ARG181, ARG202)"
8,2.7334139729973685,6467788.99427869,7591479.0940667335,8449937.180671677,9294577.831374887,56137892949.980484,6545645094.838968,1140977225.2481492,3.0,3.0,3.0,5.0,11.0,1.865046916299963,3.96,6328605.203934647,2515.671918978039,-0.32137757843238557,806.4159999999999,3,"multiply(ARG181, ARG202)"
9,2.7469001789977483,6376908.2419463,7362515.138962785,8144864.265918912,9310593.461275097,297020132146.04895,30400905772.718124,4856149851.807474,3.0,3.0,3.0,5.0,11.0,1.6079800993793425,3.88,6310311.922335451,2512.033423809375,-0.3175580429483107,653.111,5,"add(ARG51, add(ARG51, ARG51))"
10,2.7476521160024276,5633688.44433339,7299998.083256137,7996056.32006572,9188919.169815898,165393346663.65543,17730338962.784847,3122022066.6620755,3.0,3.0,3.0,5.0,13.0,1.7935828711642383,3.9702970297029703,5421467.172261759,2328.4044262674297,-0.13197220126482279,842.6558772639999,5,"multiply(multiply(ARG488, ARG488), ARG474)"
11,2.784080100002029,5620997.8781293295,7023660.366835492,7707790.66316458,8616683.90394445,195600379376.80557,19476700682.397728,2111490677.5622787,3.0,3.0,3.0,5.0,19.0,2.114332045824402,4.36,5421467.172261759,2328.4044262674297,-0.13197220126482279,842.6558772639999,5,"multiply(multiply(ARG488, ARG488), ARG474)"
12,2.730795568000758,5642917.947027253,7015732.712236715,7964456.773546065,9246218.029242113,55950148457.060776,8237529035.680331,1926154721.1529512,3.0,3.0,3.0,5.0,9.0,1.8559094805512475,4.34,5421467.172261759,2328.4044262674297,-0.13197220126482279,842.6558772639999,5,"multiply(multiply(ARG488, ARG488), ARG474)"
13,2.774165738999727,5651916.712153768,7005293.5594890285,7303398.578572409,9197441.963574601,56002808497.75777,11497441522.004187,3009324810.755328,3.0,3.0,5.0,7.0,9.0,1.8243632168365975,4.603960396039604,5421467.172261759,2328.4044262674297,-0.13197220126482279,842.6558772639999,5,"multiply(multiply(ARG488, ARG488), ARG474)"
14,2.7533417390004615,5639918.358651747,6757645.790186962,7500017.751148903,9302321.857565213,225915594663.71835,22851025713.372734,3590619627.218971,1.0,3.0,5.0,7.0,13.0,2.2417850030723288,5.12,5421467.172261759,2328.4044262674297,-0.13197220126482279,842.6558772639999,5,"multiply(multiply(ARG488, ARG488), ARG474)"
15,2.7671256460016593,5622613.041100755,6568252.244141696,7313566.349075656,8702107.999081008,1888223803858.0127,187929962867.12704,20487346421.415264,1.0,5.0,5.0,7.0,15.0,2.7950670832736733,6.26,5421467.172261759,2328.4044262674297,-0.13197220126482279,842.6558772639999,5,"multiply(multiply(ARG488, ARG488), ARG474)"
16,2.7945170040002267,5643379.422161945,6363977.220124673,6994641.000002572,8011268.806480164,2447566049975.597,243521261579.5751,25882060585.606743,3.0,5.0,6.0,9.0,17.0,3.2081770524707642,6.74,5421467.172261759,2328.4044262674297,-0.13197220126482279,842.6558772639999,5,"multiply(multiply(ARG488, ARG488), ARG474)"
17,2.773909307001304,5640149.096219094,6176296.359482306,6750183.061696567,7800090.112314962,6969595316.781377,916966212.875591,215872678.47667956,1.0,5.0,7.0,9.0,19.0,3.355234716081723,7.32,5421467.172261759,2328.4044262674297,-0.13197220126482279,842.6558772639999,5,"multiply(multiply(ARG488, ARG488), ARG474)"
18,2.836558334998699,5635303.607304816,6147849.788409631,6335900.814089,6853176.737832035,31549386562.918373,3136716196.4983234,353836015.37699854,1.0,7.0,9.0,11.0,19.0,3.5000805233920564,8.742574257425742,5421467.172261759,2328.4044262674297,-0.13197220126482279,842.6558772639999,5,"multiply(multiply(ARG488, ARG488), ARG474)"
19,2.808309165000537,5678220.794831275,6151024.91798948,6321130.936701725,6909569.699283888,13854053966.698952,1584947503.4873652,305706736.9459529,3.0,7.0,9.0,11.0,23.0,3.7333095237336003,9.68,5421467.172261759,2328.4044262674297,-0.13197220126482279,842.6558772639999,5,"multiply(multiply(ARG488, ARG488), ARG474)"
