generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,2.7228948169999967,8536125.162378846,9288687.946906306,9334968.960919484,9364915.169585554,1278291748.526619,141159802.98526433,33151413.279016994,3.0,3.0,3.0,4.0,7.0,1.7320508075688772,4.0,7787814.866659917,2790.6656673023226,-0.6260524425490896,741.475,3,"subtract(ARG594, ARG59)"
2,2.7392939979999937,7297892.4971772805,9211707.206078125,9312766.800651597,9347090.859944783,9734220.578979243,334426.405253512,9190282.188304516,3.0,3.0,3.0,5.0,9.0,1.7468444528903722,4.089108910891089,6883209.587193884,2623.5871602052566,-0.4371758899597742,681.1934180000007,3,"multiply(ARG502, ARG594)"
3,2.7280166440000357,7277025.192949413,8619532.320054328,9279772.013754146,9336387.64575951,12669398.802287197,582260.601817218,9086183.467269566,3.0,3.0,3.0,5.0,11.0,2.064848662735359,4.58,6883209.587193884,2623.5871602052566,-0.4371758899597742,681.1934180000007,3,"multiply(ARG502, ARG594)"
4,2.748284234000039,7187478.639747385,8413343.619945902,9191291.081767697,9334173.934485964,16982881.929157197,985698.1163830807,8991508.712706167,1.0,3.0,3.0,5.0,13.0,2.49614937253971,4.742574257425742,6759394.5935457,2599.8835730750907,-0.4113240077190017,705.1360999999999,5,"multiply(add(ARG354, ARG532), ARG594)"
5,2.730403946000024,7188656.142801078,8274491.434052502,8637086.258203238,9347214.118677327,57246820713.28962,7189013079.42109,1087851761.7928286,3.0,3.0,5.0,5.0,13.0,2.2693611435820435,4.9,6759394.5935457,2599.8835730750907,-0.4113240077190017,705.1360999999999,5,"multiply(add(ARG354, ARG532), ARG594)"
6,2.7366232259998924,7126546.938313972,7993440.981846819,8595785.817838352,9230224.295971531,57006170023.80913,6473450784.394392,950277410.9232986,3.0,3.0,3.0,5.0,15.0,2.361694307060082,4.68,7024936.695523344,2650.459713997431,-0.4667677221515141,622.324382,7,"add(subtract(ARG124, ARG379), multiply(ARG174, ARG97))"
7,2.728813833999993,7124793.718352929,7857516.330009749,8509814.928615708,9330213.959413422,56936746461.547646,12015107417.12817,3629297926.0219903,3.0,3.0,5.0,5.0,15.0,2.326456533013243,4.74,7024936.695523344,2650.459713997431,-0.4667677221515141,622.324382,7,"add(subtract(ARG124, ARG379), multiply(ARG174, ARG97))"
8,2.734233362000168,7118981.842773346,7823698.393854301,8418742.293019433,9268786.395484412,85423431539.03209,11020657372.70312,2225494938.903377,3.0,3.0,5.0,7.0,15.0,3.0727186659373813,5.28,7056274.856571155,2656.364970513494,-0.4733109559326536,651.27576,7,"add(subtract(ARG177, ARG379), multiply(ARG174, ARG97))"
9,2.7542485040000884,7124810.146709465,7803000.001821665,8565983.570480546,9318441.42702988,281727118771.2528,35624563249.20241,7209414236.804499,3.0,3.0,5.0,7.0,15.0,2.9425769225631897,5.415841584158416,7056274.856571155,2656.364970513494,-0.4733109559326536,651.27576,7,"add(subtract(ARG177, ARG379), multiply(ARG174, ARG97))"
10,2.7395305089999056,7021215.812355408,7829833.108831065,8399816.732918587,9155047.415967396,56941099793.04408,8684552598.807775,1663662593.1664104,1.0,3.0,5.0,7.0,15.0,2.9850293130889023,5.36,6917034.50933205,2630.0255719920387,-0.4442383456297543,609.329382,5,"add(ARG594, multiply(ARG174, ARG97))"
11,2.739246183999967,7002289.156432542,7689376.156566469,8375998.869185625,9303209.80962374,57123085768.34894,14459416240.968224,4936711583.739118,3.0,3.0,5.0,7.0,15.0,3.0965141691908986,5.54,6917034.50933205,2630.0255719920387,-0.4442383456297543,609.329382,5,"add(ARG594, multiply(ARG174, ARG97))"
12,2.742933012000094,6981930.741062939,7654911.377715056,8380856.890709394,9200788.645359164,38790466642.73098,8186501271.780576,2079937521.2798352,3.0,3.0,5.0,7.0,19.0,3.5385872887354357,5.72,6631085.2073082635,2575.0893590918868,-0.38453372129520025,744.895380952381,17,"add(ARG594, add(add(ARG582, add(add(add(ARG582, add(division(ARG423, ARG336), ARG585)), ARG585), ARG585)), ARG585))"
