generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,15.387435358003131,1732.8772977805806,2362.6302058451056,146553.87109785085,24915962.755183183,4714596302176668.0,473382406145183.0,54051511788023.22,3.0,3.0,3.0,7.0,7.0,1.7937669859822927,4.32,1051.669387550453,32.429452470716384,-2.739334770569706,27.099899999999998,3,"add(-0.0699, ARG4)"
2,15.551304790998984,1290.197591928858,2320.249534111836,24660.17211526107,169461.86723807006,245159155028.13422,25386191451.965908,3206347005.0176973,1.0,3.0,3.0,5.0,9.0,1.7240236720537756,4.089108910891089,736.9103961165049,27.146093570097797,-1.6201719852386085,20.59,3,"add(ARG4, ARG4)"
3,15.50401754300401,1288.9800978324322,1818.0027866400105,2364.995985951732,16130.18891869214,19576612.302704506,1951727.5354244846,261070.18161679967,3.0,3.0,3.0,5.0,11.0,1.8794155275571756,4.0495049504950495,736.9103961165049,27.146093570097797,-1.6201719852386085,20.59,3,"add(ARG4, ARG4)"
4,15.501464882996515,1291.2002341259142,1768.9958811685221,2323.599766804527,14084.432411527807,642519911402.618,63622281270.481995,6544701187.662305,3.0,3.0,3.0,5.0,11.0,1.8038288852303732,4.207920792079208,736.9103961165049,27.146093570097797,-1.6201719852386085,20.59,3,"add(ARG4, ARG4)"
5,15.523321731001488,1063.1043992735367,1699.771626962135,2327.2106778539796,17432.72601513914,9796927388904.797,969983803304.0165,97093282173.77722,1.0,3.0,5.0,5.0,9.0,1.8431804005101142,4.465346534653466,724.7949955200374,26.9220169289011,-1.5770942468865652,17.79181818181818,5,"add(division(ARG3, ARG4), ARG4)"
6,15.402944851994107,1062.7405346002795,1390.7857354577188,2249.465302860347,2379.1072785402566,17910945681.130386,1782087259.0991976,179413098.53583068,3.0,3.0,5.0,5.0,11.0,1.8307375562870831,4.78,724.7949955200374,26.9220169289011,-1.5770942468865652,17.79181818181818,5,"add(division(ARG3, ARG4), ARG4)"
7,15.532309120004356,1061.9144634501822,1342.5182281228872,1781.6529134290452,2317.3578166052685,107725.31234213381,14195.940067358826,6386.997511929329,3.0,3.0,5.0,5.0,11.0,1.758255277657276,4.7227722772277225,724.7949955200374,26.9220169289011,-1.5770942468865652,17.79181818181818,5,"add(division(ARG3, ARG4), ARG4)"
8,15.435717884000042,1062.1996546805728,1292.0805301024966,1577.9290475753746,2296.277678247927,18374235508.282833,1924853448.4645731,246167685.31839103,3.0,3.0,5.0,7.0,11.0,1.9530488985173922,5.16,724.7949955200374,26.9220169289011,-1.5770942468865652,17.79181818181818,5,"add(division(ARG3, ARG4), ARG4)"
9,15.40818592999858,1060.8622061518438,1291.042079255545,1564.3076482772926,2259.3199378537433,1195366.149157862,120057.65667422379,20594.69293766712,3.0,3.0,5.0,7.0,11.0,2.1525798475317934,5.08,724.7949955200374,26.9220169289011,-1.5770942468865652,17.79181818181818,5,"add(division(ARG3, ARG4), ARG4)"
10,15.607018746995891,1061.511262055492,1289.779824346751,1649.471136849956,2992.98133597183,836807.6497593607,86834.29400144762,22310.47475236432,3.0,3.0,5.0,7.0,15.0,2.531247711885116,5.534653465346534,724.7949955200374,26.9220169289011,-1.5770942468865652,17.79181818181818,5,"add(division(ARG3, ARG4), ARG4)"
11,15.4855085540039,1062.4455091895304,1289.2307583816964,1633.3581652633054,2260.2551019715074,77580948358.04613,7719127779.010403,776639991.1471126,1.0,3.0,5.0,7.0,13.0,2.487971060924946,5.7,724.7949955200374,26.9220169289011,-1.5770942468865652,17.79181818181818,5,"add(division(ARG3, ARG4), ARG4)"
12,15.491381179999735,1061.2359050054592,1165.1747775803815,1364.3906396853577,2159.0417246929164,1505641.1884128866,253892.4943949726,60860.39476796648,1.0,3.0,5.0,7.0,13.0,2.506312031651287,5.72,724.7949955200374,26.9220169289011,-1.5770942468865652,17.79181818181818,5,"add(division(ARG3, ARG4), ARG4)"
13,16.358703206002247,949.8657294977586,1164.1792834346743,1293.5994136688705,1687.9889061398987,894922.3997835466,101662.25962961443,21675.81165828621,3.0,3.0,5.0,7.0,11.0,2.235958374383409,5.554455445544554,648.0272867821734,25.456380080093346,-1.3041375877514327,16.218405797101447,11,"add(ARG4, add(add(division(ARG3, ARG4), ARG4), subtract(ARG7, ARG7)))"
14,15.713290679996135,947.5747178225386,1161.45647241993,1308.8365260563112,5638.609252129635,29723743327.856323,2943384705.054,307757810.72371763,1.0,3.0,5.0,9.0,13.0,2.7020816005410992,6.188118811881188,648.0272867821734,25.456380080093346,-1.3041375877514327,16.218405797101447,11,"add(ARG4, add(add(division(ARG3, ARG4), ARG4), subtract(ARG7, ARG7)))"
15,15.583132067004044,947.6976073376844,1066.2095417216706,1292.2804617310762,1729.5107757783705,761311.0869719089,76480.72706830449,13334.975493537206,3.0,5.0,7.0,9.0,19.0,2.9836889918354426,6.76,648.0272867821734,25.456380080093346,-1.3041375877514327,16.218405797101447,7,"add(add(ARG4, ARG4), division(ARG3, ARG4))"
16,15.815136085999256,920.6189850214654,1046.065319795187,1288.383287000851,1611.7545380057043,42081105.59306018,4165951.8092119386,438731.424044711,3.0,5.0,7.0,9.0,19.0,3.3738994836410234,7.376237623762377,636.7872753442721,25.23464434748927,-1.2641723989868892,16.13,11,"add(ARG4, add(add(division(ARG3, ARG4), ARG4), division(ARG3, ARG3)))"
17,15.889402007000172,921.8103722938674,1025.5996844828783,1079.0557930342193,1633.9961246198554,942437.2317168263,102739.65776439922,20055.50916325159,1.0,5.0,7.0,11.0,15.0,3.381329455028421,7.851485148514851,636.7872753442721,25.23464434748927,-1.2641723989868892,16.13,11,"add(ARG4, add(add(division(ARG3, ARG4), ARG4), division(ARG3, ARG3)))"
18,15.843622619002417,853.4072156861796,1028.342607675951,1217.9762329610016,5652.764275726484,988301412.170198,97849640.42064658,9805566.260441804,3.0,7.0,7.0,11.0,15.0,3.233124314658482,8.227722772277227,492.46724283612843,22.19160298031957,-0.7510254708401747,15.239999999999998,15,"add(ARG4, add(add(ARG4, division(subtract(ARG3, division(ARG3, ARG4)), ARG4)), division(ARG4, ARG4)))"
19,15.876120435001212,852.3740063920297,1015.2779748242057,1074.7217579878143,1684.6045325111295,74880.80176011029,13460.642404780407,6916.877214296834,3.0,7.0,9.0,11.0,17.0,3.470152254716588,8.722772277227723,492.46724283612843,22.19160298031957,-0.7510254708401747,15.239999999999998,15,"add(ARG4, add(add(ARG4, division(subtract(ARG3, division(ARG3, ARG4)), ARG4)), division(ARG4, ARG4)))"
20,15.734358875000908,852.9024416798773,950.9849018678374,1063.4489658222624,1286.902476125527,1345332.1523585992,133757.64895184455,16507.382729894845,3.0,7.0,9.0,13.0,23.0,4.14434554543899,9.38,492.46724283612843,22.19160298031957,-0.7510254708401747,15.239999999999998,15,"add(ARG4, add(add(ARG4, division(subtract(ARG3, division(ARG3, ARG4)), ARG4)), division(ARG4, ARG4)))"
21,15.857803840997803,852.7841352721503,943.8926179877151,1046.10363542562,1218.810988649876,80936644581.08034,8235225495.295993,990846838.1847878,3.0,7.0,11.0,15.0,23.0,4.91121166312347,11.2,492.46724283612843,22.19160298031957,-0.7510254708401747,15.239999999999998,15,"add(ARG4, add(add(ARG4, division(subtract(ARG3, division(ARG3, ARG4)), ARG4)), division(ARG4, ARG4)))"
22,15.88457617500535,853.3362318415432,947.1961255382691,1046.757021176537,1291.558320624863,1284797931.205511,127835444.84079175,12851317.91658416,3.0,9.0,11.0,17.0,27.0,6.09012315146418,12.48,492.46724283612843,22.19160298031957,-0.7510254708401747,15.239999999999998,15,"add(ARG4, add(add(ARG4, division(subtract(ARG3, division(ARG3, ARG4)), ARG4)), division(ARG4, ARG4)))"
23,16.118296671003918,841.7488098111658,929.9338439846917,1038.1678390740014,1292.1431952398125,76898638549754.39,7613726587267.55,761372677078.912,3.0,9.0,15.0,19.0,35.0,8.10542242931069,14.306930693069306,456.6393416922667,21.369121219466813,-0.6236351349706246,13.119796026289947,11,"add(add(add(division(ARG6, ARG3), ARG4), ARG4), division(ARG7, ARG4))"
24,16.084067292998952,839.8922394388433,909.2952493979417,1018.4473062926766,1285.2659764131447,1489311.174110946,148210.47307057405,20785.10293360323,3.0,11.0,17.0,23.0,33.0,7.587647856878969,16.74,456.6393416922667,21.369121219466813,-0.6236351349706246,13.119796026289947,11,"add(add(add(division(ARG6, ARG3), ARG4), ARG4), division(ARG7, ARG4))"
25,16.167944183005602,821.352218028017,888.8332032980127,1019.9124933007745,1292.7250858006041,111675.9917065416,13695.744187706568,4823.932869131033,3.0,13.0,19.0,23.5,37.0,7.653783378173178,18.86,476.75178548076826,21.83464644734987,-0.6951473053064416,14.794688565995152,35,"add(add(division(division(ARG4, ARG2), ARG4), ARG4), add(add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), ARG4), division(division(add(add(ARG4, ARG4), division(ARG3, ARG4)), ARG4), division(subtract(ARG3, division(ARG3, ARG4)), ARG4))))"
26,16.298710151000705,820.946073295574,885.3132555577871,1021.7318857187512,1287.119900488345,6673012.176381584,683245.4771205841,88828.57474056829,3.0,15.0,21.0,27.0,43.0,8.676842743763425,21.18,477.5512338123602,21.85294565527403,-0.6979898383106196,14.579999999999998,33,"add(add(division(ARG4, ARG4), ARG4), add(add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), ARG4), division(division(add(add(ARG4, ARG4), division(ARG3, ARG4)), ARG4), division(subtract(ARG3, division(ARG3, ARG4)), ARG4))))"
27,16.282105196994962,820.0115240286566,854.9046304345973,947.3842182594415,1217.7663238842626,10282003572.731567,1023042038.9806327,102864109.00563978,3.0,15.0,23.0,29.0,45.0,8.901145993634753,22.64,479.1306667480379,21.889053582739432,-0.7036056987360324,14.685300646069216,35,"add(add(division(division(ARG4, ARG2), ARG4), ARG4), add(add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), ARG4), division(division(add(add(ARG3, ARG4), division(ARG3, ARG4)), ARG4), division(subtract(ARG3, division(ARG3, ARG4)), ARG4))))"
28,16.474450917994545,819.782216371942,854.7637818211458,973.6110385244906,1293.6113498855022,6413890283.041639,640320746.5221494,72381203.59434159,3.0,15.0,23.0,31.0,47.0,10.402920872059273,23.237623762376238,476.05997441300167,21.818798647336237,-0.6926874893119968,14.807064565811565,47,"add(add(division(division(ARG4, ARG2), ARG4), ARG4), add(add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), ARG4), division(division(add(add(add(ARG4, division(ARG4, ARG4)), ARG4), division(ARG3, ARG4)), ARG4), division(subtract(ARG3, division(add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), ARG4), ARG4)), ARG4))))"
29,16.54724882500159,817.5127290974842,855.9635278500175,1013.2448282929006,1292.0715779400227,836389.6136514278,82975.20268405322,12241.112531466455,3.0,15.0,25.0,33.0,47.0,11.449757695221605,24.821782178217823,475.8846150547161,21.814779738854025,-0.6920639783935045,14.60208491583677,37,"add(add(division(division(ARG4, ARG2), ARG4), ARG4), add(add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), ARG4), division(division(add(add(ARG4, ARG4), division(ARG3, ARG4)), ARG4), division(subtract(division(ARG3, ARG4), division(ARG3, ARG4)), ARG4))))"
30,16.470999178003694,794.3823177764033,825.1994025189538,917.3125568103549,1112.1038204952051,239470081.69068772,23826676.09941347,2397660.316748877,3.0,17.0,29.0,37.0,57.0,11.841891740765071,27.64,469.95645122768707,21.678478987873827,-0.6709856914466195,15.195375165208283,27,"add(add(add(add(division(add(ARG4, ARG4), ARG4), ARG4), division(subtract(ARG3, division(ARG3, ARG4)), ARG4)), division(ARG3, ARG2)), add(division(division(ARG4, ARG2), ARG4), ARG4))"
31,16.80288735999784,778.3792332441061,824.1544410529677,917.1550078725974,1285.56284889041,2045022.6728723596,214270.0140262183,34101.073393345374,7.0,25.0,33.0,41.0,63.0,13.048348030868624,31.91089108910891,510.6932137256941,22.59852237925511,-0.8158300638819915,15.347733702754283,55,"add(ARG4, add(add(division(subtract(ARG3, add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), ARG4)), ARG4), ARG4), division(add(add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), add(add(add(ARG4, division(ARG4, ARG4)), ARG4), division(ARG3, ARG4))), division(add(add(ARG4, ARG4), division(ARG3, ARG3)), ARG4)), division(subtract(ARG3, division(ARG3, ARG4)), ARG4))))"
32,16.974824324999645,779.3595143442292,823.906537589185,895.5664219728212,1226.2244213631595,47810224261.890205,4733555812.629118,474917225.86456263,3.0,29.0,35.0,45.0,63.0,11.842113965431906,35.89108910891089,510.6932137256941,22.59852237925511,-0.8158300638819915,15.347733702754283,55,"add(ARG4, add(add(division(subtract(ARG3, add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), ARG4)), ARG4), ARG4), division(add(add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), add(add(add(ARG4, division(ARG4, ARG4)), ARG4), division(ARG3, ARG4))), division(add(add(ARG4, ARG4), division(ARG3, ARG3)), ARG4)), division(subtract(ARG3, division(ARG3, ARG4)), ARG4))))"
33,17.049097361996246,776.7839455852886,821.1408650356441,872.6812477341479,1032.222219969799,156136876.8684548,15458920.151712414,1547683.9735424344,3.0,29.0,37.0,45.0,63.0,12.592969627176004,36.34653465346535,506.1449753494881,22.497665997820487,-0.7996582649247166,14.688941323345816,53,"add(ARG4, add(add(division(subtract(ARG3, add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), ARG4)), ARG4), ARG4), division(add(add(division(subtract(ARG3, ARG3), ARG4), add(add(add(ARG4, division(ARG4, ARG4)), ARG4), division(ARG3, ARG4))), division(add(add(ARG4, ARG4), division(ARG3, ARG3)), ARG4)), division(subtract(ARG3, division(ARG3, ARG4)), ARG4))))"
34,16.97576695099997,776.7192908163527,820.4829032719172,856.3255518938229,1060.8003806509623,96082.35075235217,12222.943212840151,3843.634613841323,1.0,33.0,39.0,47.0,69.0,12.382875271922913,38.62,506.1449753494881,22.497665997820487,-0.7996582649247166,14.688941323345816,53,"add(ARG4, add(add(division(subtract(ARG3, add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), ARG4)), ARG4), ARG4), division(add(add(division(subtract(ARG3, ARG3), ARG4), add(add(add(ARG4, division(ARG4, ARG4)), ARG4), division(ARG3, ARG4))), division(add(add(ARG4, ARG4), division(ARG3, ARG3)), ARG4)), division(subtract(ARG3, division(ARG3, ARG4)), ARG4))))"
35,17.26292481499695,761.5266787089499,819.3998934365038,854.5656857728126,1046.9507044109673,1385424.562974615,137108.1385139917,16751.560003040155,7.0,33.0,41.0,51.0,65.0,11.738416107151629,40.56435643564357,451.3937704381162,21.246029521727493,-0.6049838865703709,14.781715826316237,55,"add(ARG4, add(add(division(subtract(ARG3, add(division(subtract(ARG3, division(ARG3, ARG3)), ARG4), ARG4)), ARG4), ARG4), division(add(add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), add(add(add(ARG4, division(ARG4, ARG4)), ARG4), division(ARG3, ARG4))), division(add(add(ARG4, ARG4), division(ARG3, ARG3)), ARG4)), division(subtract(ARG3, division(ARG3, ARG4)), ARG4))))"
36,17.10760646500421,746.4623206212113,793.0736518711388,823.7307883419894,1062.3775843589715,1357092.1387938946,167690.30863350877,26621.574491679108,5.0,29.0,45.0,51.0,63.0,13.016850617564911,41.04,484.233945443716,22.005316299560796,-0.7217510091316353,14.405274542174002,55,"add(ARG4, add(add(division(subtract(ARG3, add(division(subtract(ARG3, division(ARG3, ARG4)), ARG4), ARG4)), ARG4), ARG4), division(add(add(division(subtract(ARG4, ARG3), ARG4), add(add(add(division(ARG4, ARG4), division(ARG4, ARG4)), ARG4), division(ARG3, ARG4))), division(add(add(ARG4, ARG4), division(ARG3, ARG3)), ARG4)), division(subtract(ARG3, division(ARG3, ARG4)), ARG4))))"
