generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,test_rse,best_candidate_size,best_candidate_solution
1,18.08329429443959,0.6975559514862895,1.3089965335136224,35.443065407846234,566.3658631859397,29386467070.525383,1960255139.1859803,170971287.6677148,0.24393597922554047,0.8567409380136839,34.993814367624324,565.912243213679,29386467070.071762,1960255139.1858692,170971287.21537206,0.44488210818307905,0.4534951456310679,0.45361997226074896,0.45361997226074896,0.45624133148404994,0.0026457185289920616,0.452342746185853,3.0,3.0,3.0,7.0,7.0,1.7693569453335298,4.376,391.35147092547845,19.782605261326893,-0.3914963961761564,13.801739123878587,1.3914963961761582,7,"mul(div(ARG6, ARG3), div(ARG5, ARG3))"
2,17.844916168363408,0.6955587254113934,1.2699570082623874,1.30858293532375,36.90749832408635,454490878.3199967,42535024.86634699,4959456.920295829,0.24393597922554047,0.8183342620765344,0.8569609568741098,36.45631247110437,454490877.87161946,42535024.866568446,4959456.469144541,0.447128987517337,0.45162274618585296,0.45162274618585296,0.45162274618585296,0.45611650485436894,0.0012323880683418836,0.4511512894331136,3.0,3.0,3.0,5.0,9.0,1.701974125873847,4.418326693227091,391.35147092547845,19.782605261326893,-0.3914963961761564,13.801739123878587,1.3914963961761582,7,"mul(div(ARG6, ARG3), div(ARG5, ARG3))"
3,17.672556558961062,0.6863559001613787,1.2379225675688639,1.3021530379795752,2.6881804282929807,28110556.796704143,2154052.5458856854,210618.05489639778,0.22537115674945082,0.776937824156936,0.8445490410197223,2.2271332715662124,28110556.3357194,2154052.5456474964,210617.596623028,0.4387656033287101,0.46098474341192786,0.46098474341192786,0.46098474341192786,0.4627323162274619,0.0065236227112229475,0.4582733697664265,3.0,3.0,3.0,5.0,11.0,1.8003031442641653,4.386454183266932,442.7015155180034,21.040473272196216,-0.5740775471425972,14.94379833368938,1.5740775471425983,5,"mul(ARG3, div(ARG3, ARG5))"
4,17.63426523868749,0.6754959833791319,1.2020205969441538,1.279502703973894,1.30781168547193,19124382.69475014,1430599.5135546513,143927.8348103383,0.22537115674945082,0.7518957703144729,0.8289166585074617,0.8570064625623426,19124382.244625315,1430599.5135518373,143927.384715848,0.445880721220527,0.450124826629681,0.450124826629681,0.450124826629681,0.45249653259362,0.0004563134418077556,0.45009449027744775,3.0,3.0,5.0,5.0,11.0,1.8232566177615268,4.53784860557769,442.7015155180034,21.040473272196216,-0.5740775471425972,14.94379833368938,1.5740775471425983,5,"mul(ARG3, div(ARG3, ARG5))"
5,17.728174032826814,0.6686305187466769,1.1597038951975027,1.2842833009442898,1.3469708104967402,309993280.2148679,19750830.78339412,1503551.3732922622,0.22537115674945082,0.7164445332002767,0.8410239389470636,0.8981567534027078,309993279.77160853,19750830.7834774,1503550.9289388023,0.4396393897364771,0.4432593619972261,0.4432593619972261,0.4432593619972261,0.4603606102635229,0.003592136643801249,0.44435345994662134,3.0,3.0,5.0,5.0,13.0,1.9553596533899262,4.745019920318725,442.7015155180034,21.040473272196216,-0.5740775471425972,14.94379833368938,1.5740775471425978,5,"div(ARG3, div(ARG5, ARG3))"
6,17.803215230006913,0.6784918224914758,1.1097992736336335,1.2829089349818075,1.3100753146660584,10573851585.734364,773798021.814478,70591021.48728894,0.22537115674945082,0.6566786078916085,0.8297882692397824,0.8569635039715342,10573851585.281242,773798021.8144453,70591021.03452735,0.44013869625520113,0.453120665742025,0.453120665742025,0.453120665742025,0.45761442441054095,0.001711158740025298,0.4527616026877235,1.0,3.0,5.0,7.0,13.0,2.4358762528414366,5.103585657370518,442.7015155180034,21.040473272196216,-0.5740775471425972,14.94379833368938,1.5740775471425978,5,"div(ARG3, div(ARG5, ARG3))"
7,17.722720920767657,0.6276316680387362,1.1320177720751765,1.2759950063282994,1.3036378334163923,4707264.305521429,412171.89497795014,44120.33921840469,0.18087716041044205,0.6852632644468825,0.8292404987000053,0.8568833257880983,4707263.858766921,412171.8950009653,44119.892245700095,0.445880721220527,0.44675450762829405,0.44675450762829405,0.44675450762829405,0.45823855755894594,0.0013094575003767357,0.44697270457697647,1.0,3.0,5.0,7.0,15.0,2.304722109062175,5.016,352.87066434289676,18.784851991508923,-0.2546733415572806,13.757550000000002,1.2546733415572813,3,"mul(ARG3, 0.2007)"
8,17.701986572138466,0.6293168275394296,1.0793214786950203,1.2723536536219997,1.3051619797516512,7112323.94368682,870714.5698714579,135480.43177389624,0.18087716041044205,0.6308818115660327,0.8239139864930123,0.8567390148403645,7112323.495247153,870714.5698834903,135479.98332074785,0.44294729542302363,0.44843966712898753,0.44843966712898753,0.44843966712898753,0.4515603328710125,0.0005925826055836592,0.44845314840499306,1.0,3.0,5.0,7.0,13.0,2.3321612294178977,5.032,352.87066434289676,18.784851991508923,-0.2546733415572806,13.757550000000002,1.2546733415572813,3,"mul(ARG3, 0.2007)"
9,17.766002578559267,0.6333736930040621,1.115348216572762,1.288405588608889,2.513998879029039,29404521.47051942,2282509.12189272,284012.57679113094,0.18087716041044205,0.6628516839791421,0.835909056015269,2.061502346435419,29404521.018022887,2282509.1218764493,284012.12442539283,0.44750346740638003,0.45249653259362,0.45249653259362,0.45249653259362,0.45249653259362,0.0007127512236800064,0.45236573815694225,1.0,3.0,5.0,7.0,13.0,2.404632492603667,5.286852589641434,352.87066434289676,18.784851991508923,-0.2546733415572806,13.757550000000002,1.2546733415572813,3,"mul(ARG3, 0.2007)"
10,17.834266661733466,0.6333112796892215,1.1083764927166921,1.2785595003125803,2.101553792032658,16340171847.092691,1042972675.4970465,77833981.17615288,0.18087716041044205,0.6559423734379126,0.8261253810338008,1.6491196727538788,16340171846.640257,1042972675.4970458,77833980.72372772,0.44644244105409153,0.4524341192787794,0.4524341192787794,0.4524341192787794,0.4589251040221914,0.0006908712188180905,0.4524251675682844,1.0,3.0,5.0,7.0,15.0,2.3812306066895084,5.422310756972111,352.87066434289676,18.784851991508923,-0.2546733415572806,13.757550000000002,1.2546733415572813,3,"mul(0.2007, ARG3)"
