generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,2.76126241199745,8458663.998891283,9284730.033927586,9331514.658816272,9359687.541060928,95309141486.82777,12118472287.776352,1745469192.1457899,5630358.672898068,6196757.891959647,6222467.79669335,6226321.50658603,63329623995.56857,8060328095.655001,1161099081.8672888,0.4923926380368098,0.49754601226993866,0.5001226993865031,0.5028987730061351,0.5108588957055215,0.0039564726351001426,0.5003944785276073,3.0,3.0,3.0,3.0,7.0,1.6833300330000651,3.92,7720717.783416003,2778.6179628398004,-0.6120429446392506,739.7529999999999,3,"add(ARG275, ARG532)"
2,2.770957623997674,7697159.351246202,8948234.559716742,9288308.415810607,9328228.687806243,10197521.108879168,341184.2132767207,9147383.320185961,5120131.3020450985,5981318.808908218,6198241.955809651,6223277.525886651,6817028.01438422,231129.07197201625,6099949.861148396,0.49079754601226994,0.49644171779141105,0.4997239263803681,0.5023466257668712,0.5066871165644172,0.003762869519724249,0.4996220858895705,1.0,3.0,3.0,5.0,13.0,1.928315326911032,4.04,7225303.897311366,2687.9925404121504,-0.5086032798082505,595.514,7,"add(add(ARG37, ARG113), multiply(ARG48, ARG533))"
3,2.7619722279996495,7279150.765036458,8810111.904912915,9227089.139650967,9309670.207978465,11022941.918197468,458862.651525262,9034313.084086407,4828476.680506827,5863428.008269384,6144127.177982112,6213845.29589029,7355547.274189165,308214.10624288407,6023866.2401213655,0.489079754601227,0.4977453987730061,0.49981595092024544,0.5026226993865031,0.5079141104294479,0.0038850617361169135,0.49978895705521464,3.0,3.0,3.0,5.0,15.0,2.114615804348393,4.22,6809059.352680107,2609.417435497837,-0.42169373328153936,569.586998,3,"multiply(ARG534, ARG275)"
4,2.77850574400145,7208352.855426572,8456689.00234744,8848520.344172528,9230228.203107923,11833723743.869827,1170668952.4167182,127546726.96209604,4828476.680506827,5636409.500256103,5896987.679128274,6159414.391686369,7891408461.525926,780669749.5360802,85051820.50556749,0.48938650306748466,0.498159509202454,0.5000613496932516,0.502638036809816,0.5091411042944786,0.0036754566178386567,0.5001761525845837,3.0,3.0,3.0,5.0,17.0,2.896644601272948,4.366336633663367,6809059.352680107,2609.417435497837,-0.42169373328153936,569.586998,3,"multiply(ARG534, ARG275)"
5,2.780795140999544,5777805.485186318,8218221.415693553,8728564.792473184,9192238.76068754,974912357.4368776,96692756.21090166,19807557.015187677,3858656.5087285195,5483813.55315289,5824178.987113576,6128353.58133416,652182197.5794593,64681447.468157105,13224256.805831334,0.4874846625766871,0.4982208588957055,0.5003067484662577,0.5030674846625767,0.5142944785276073,0.004199148616925967,0.5007483447731278,3.0,3.0,3.0,5.0,15.0,3.00115979280524,4.623762376237623,5517529.390458894,2348.9421854228117,-0.15202945830169012,863.7486999999999,7,"add(multiply(ARG234, ARG78), multiply(ARG177, ARG488))"
6,2.79153287599911,5770898.843762967,7919036.679895744,8581294.471726816,9216473.402478283,325496076196480.1,32227333371992.414,3222742476559.2383,3858656.5087285195,5302127.659983595,5727894.642651844,6141555.6962493565,216316143107702.78,21417439308128.688,2141750026418.1172,0.4920245398773006,0.4970552147239264,0.4995705521472393,0.5022699386503068,0.5095092024539878,0.003867242986756711,0.4995213509080969,1.0,3.0,3.0,7.0,17.0,3.298679455239144,5.099009900990099,5524688.636796975,2350.465621275277,-0.15352426913042283,858.137045,5,"add(ARG156, multiply(ARG177, ARG488))"
7,2.7741355699981796,5773544.392109194,7957404.197079238,8754091.43551423,9275603.760808097,14617966693.738098,1932459853.6894476,350302998.8783466,3858656.5087285195,5296134.155796877,5849268.274312053,6180765.140728732,9753688530.350445,1289615313.0151782,233722527.72625375,0.48895705521472393,0.498159509202454,0.5006441717791411,0.5030674846625767,0.5085889570552147,0.0036396981484824657,0.500444171779141,1.0,3.0,5.0,7.0,21.0,3.6509724731912176,5.52,5524688.636796975,2350.465621275277,-0.15352426913042283,858.137045,5,"add(ARG156, multiply(ARG177, ARG488))"
8,2.8079884109974955,5738933.23225614,7502420.612472806,8402451.821387023,9238202.08980099,332671179635.9702,33055126763.598957,3748144456.6461697,3834738.5293832533,5003455.504410897,5588854.089147314,6151768.61018246,222536226374.45374,22111014090.497932,2506339714.889249,0.4915337423312883,0.49754601226993866,0.5,0.5019631901840491,0.5093865030674847,0.003526323029242159,0.49992832412075566,1.0,3.0,5.0,7.0,15.0,3.0826283889776476,5.772277227722772,5432141.037546511,2330.6953978472843,-0.13420084498772566,962.944125,11,"add(ARG177, subtract(multiply(ARG362, ARG374), subtract(ARG92, multiply(ARG177, ARG488))))"
9,2.763677891001862,5762654.932023211,7336353.762909675,8457819.838642849,9265128.265691698,333913559795.484,33220448487.152412,3379402938.597957,3834738.5293832533,4895834.904062489,5633775.748292971,6171136.532779081,222536226374.45374,22139720357.62506,2252220959.237119,0.4912883435582822,0.4974846625766871,0.5002147239263803,0.5019171779141105,0.5120245398773006,0.003659716232528263,0.49984233128834354,1.0,3.0,5.0,7.0,15.0,2.867472754883645,5.76,5432141.037546511,2330.6953978472843,-0.13420084498772566,962.944125,11,"add(ARG177, subtract(multiply(ARG362, ARG374), subtract(ARG92, multiply(ARG177, ARG488))))"
10,2.763531887001591,5712113.588553705,6924509.920278815,8275912.452967379,9248287.385950483,180979876537.05527,18070900207.403862,2203124117.5458055,3834408.2973416927,4611420.353085272,5510292.172287905,6168794.0431702975,120584204854.23483,12040612225.285957,1468291494.7375226,0.48662576687116565,0.4973159509202454,0.5003374233128834,0.5022852760736196,0.5090184049079755,0.003970853338921769,0.49970490797546013,1.0,3.0,5.0,7.0,13.0,2.4931105069771777,5.38,5432141.037546511,2330.6953978472843,-0.13420084498772566,962.944125,11,"add(ARG177, subtract(multiply(ARG362, ARG374), subtract(ARG92, multiply(ARG177, ARG488))))"
11,2.7918049629988673,5733028.503957938,6553752.75655614,8033443.983741376,9196692.524661819,64704208909.61401,6421888115.117807,750513933.6839633,3834408.2973416927,4373103.40313841,5336139.328001304,6130125.466262682,43034054399.65352,4271237505.578568,499313031.06675005,0.4893251533742331,0.49828220858895705,0.5010429447852761,0.5030061349693251,0.5086503067484662,0.003731830800391418,0.5007021806475126,3.0,3.0,5.0,7.0,15.0,2.726496103401316,5.752475247524752,5432141.037546511,2330.6953978472843,-0.13420084498772566,962.944125,11,"add(ARG177, subtract(multiply(ARG362, ARG374), subtract(ARG92, multiply(ARG177, ARG488))))"
