generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,test_rse,best_candidate_size,best_candidate_solution
1,17.84469502702359,0.9182021428239037,1.3121747289544654,39.31170542752871,591.5039528361774,193261787224140.34,12223320931694.648,854762783786.4385,0.4632090776366637,0.8576468011909734,38.860269921287376,591.0489597709901,193261787224139.88,12223320931694.646,854762783785.9849,0.4425104022191401,0.45499306518724,0.45499306518724,0.45499306518724,0.4574895977808599,0.0038006278125896145,0.45326945908460464,3.0,3.0,3.0,7.0,7.0,1.7376950250259682,4.304,828.8855860450185,28.790373148763088,-1.9472006406324063,16.984145454545455,2.9472006406324085,7,"add(div(ARG3, ARG0), div(ARG0, ARG4))"
2,17.77607888228249,0.9139580374147498,1.2844002064779074,2.826432276322932,231.7190331537039,71340495.09365915,7015064.549842986,1164028.6559362453,0.4632090776366637,0.83381454191305,2.3756833165448463,231.2690331537039,71340494.6444081,7015064.549864164,1164028.2054255004,0.44550624133148403,0.45074895977808604,0.45074895977808604,0.45074895977808604,0.454493758668516,0.0009498965164185842,0.4505107448154679,1.0,3.0,3.0,5.0,13.0,1.7457292669487365,4.155378486055777,828.8855860450185,28.790373148763088,-1.9472006406324063,16.984145454545455,2.9472006406324085,7,"add(div(ARG3, ARG0), div(ARG0, ARG4))"
3,17.614158737928847,0.8945350302253934,1.1971737196130898,1.2994644214465343,6.438574877342704,5189956.479939552,357980.35359681107,33134.33641036678,0.44803017585646143,0.7506688652441577,0.8523431840555058,5.990946583306643,5189956.033434697,357980.35351753957,33133.88905519341,0.4456310679611651,0.446504854368932,0.446504854368932,0.446504854368932,0.454618585298197,0.0022772724418927484,0.447355173370319,1.0,3.0,3.0,5.0,9.0,1.6960000000000002,4.328,909.407008737628,30.156375921811758,-2.233504073264908,19.71454545454545,3.233504073264907,7,"add(div(ARG3, ARG4), div(ARG0, ARG1))"
4,17.69000054075741,0.8468640628577522,1.1465290427883426,1.2863515681316326,2.8786670804614083,2164988.928051045,136968.64600455572,9665.345673582031,0.3989861155623291,0.6986510954929196,0.8384736208362096,2.4276996740813805,2164988.473682113,136968.64560825427,9664.897467590352,0.44687933425797505,0.447877947295423,0.447877947295423,0.447877947295423,0.45436893203883494,0.0011387145757985348,0.4482059916782246,3.0,3.0,3.0,5.0,11.0,1.8240877171890613,4.448,761.3936557602668,27.593362530874465,-1.7072251077945917,19.74018392726513,2.7072251077945917,5,"mul(div(ARG3, ARG5), ARG0)"
5,17.835977162958443,0.823149839259934,1.1195846981791762,1.2838026682963792,2.4925242536923067,309833.5177181509,20271.37961995882,1802.5227203862612,0.37602085174259703,0.6724557106618392,0.8366736807790424,2.0453952661749697,309833.0705891634,20271.379474672474,1802.075035398059,0.44500693481276005,0.447128987517337,0.447128987517337,0.447128987517337,0.4587378640776699,0.0019502398511852912,0.44768498820252955,3.0,3.0,5.0,7.0,13.0,2.159671255921106,4.9282868525896415,584.5856612869437,24.17820632898445,-1.078563392168609,15.680778658976209,2.0785633921686117,7,"div(add(ARG4, ARG4), add(-0.2803, 0.8351))"
6,17.87147618247991,0.8300777172072296,1.0559472050899403,1.2847051185682998,1.3108278700105764,166007691.6340144,10459625.295576321,685455.5966178101,0.37602085174259703,0.6018903396253079,0.8306482531036674,0.8569448273387008,166007691.17995754,10459625.295568043,685455.1426872631,0.4375797503467406,0.4540568654646325,0.4540568654646325,0.4540568654646325,0.46316920943134543,0.0016605227108470615,0.4539305468832024,3.0,3.0,5.0,7.0,15.0,2.266424578527346,5.103585657370518,584.5856612869437,24.17820632898445,-1.078563392168609,15.680778658976209,2.0785633921686117,7,"div(add(ARG4, ARG4), add(-0.2803, 0.8351))"
7,17.903890323002997,0.8377545549326109,1.0494239487672843,1.2897273149146011,1.3919010874057611,8392449.572527276,530183.6570826294,35466.638259903586,0.37602085174259703,0.5876902455772703,0.8279936117245872,0.953634790595775,8392449.110793574,530183.6570290196,35466.17732908527,0.4382662968099862,0.46173370319001383,0.46173370319001383,0.46173370319001383,0.46173370319001383,0.003657035473693779,0.46093081830790567,1.0,3.0,5.0,7.0,15.0,2.4595934623429137,5.52,584.5856612869437,24.17820632898445,-1.078563392168609,15.680778658976209,2.0785633921686117,7,"div(add(ARG4, ARG4), add(-0.2803, 0.8351))"
8,17.92923192518174,0.8274563579839285,0.9543573715536207,1.248062151885322,1.3079350033877564,234224999362.78735,14784031933.187645,936910414.7539003,0.37602085174259703,0.5029218653122891,0.7966266456439908,0.8564994971464248,234224999362.3359,14784031933.18764,936910414.3025388,0.44644244105409153,0.4514355062413315,0.4514355062413315,0.4514355062413315,0.4521844660194175,0.000602507199084132,0.45136160887656035,1.0,5.0,5.0,7.0,15.0,2.466557114684353,5.936,584.5856612869437,24.17820632898445,-1.078563392168609,15.680778658976209,2.0785633921686117,7,"div(add(ARG4, ARG4), add(-0.2803, 0.8351))"
9,18.042095406692624,0.82015400014759,0.9238717968065523,1.1751700421152067,1.300114519082011,1057824972297.0154,66636167716.15084,4214650292.0449486,0.37602085174259703,0.4797386484015593,0.7310368937102136,0.855981370677018,1057824972296.5688,66636167716.15072,4214650291.6003647,0.44288488210818305,0.444133148404993,0.444133148404993,0.444133148404993,0.4578640776699029,0.002168278570926145,0.444583717833244,3.0,5.0,5.0,7.0,13.0,2.590928273592247,6.155378486055777,584.5856612869437,24.17820632898445,-1.078563392168609,15.680778658976209,2.0785633921686117,7,"div(add(ARG4, ARG4), add(-0.2803, 0.8351))"
10,18.08970283954568,0.7784096027608519,0.929517305423176,1.1624702086328491,1.3109933190004384,3604741.894538149,291113.1827658307,32254.013143746484,0.3233541242587714,0.47446182692109545,0.7074147301307685,0.8559378404983579,3604741.4394826703,291113.1827661271,32253.55841401079,0.4449445214979195,0.4550554785020805,0.4550554785020805,0.4550554785020805,0.4550554785020805,0.0016579181744339653,0.4547297357035105,3.0,5.0,7.0,7.0,17.0,2.804826149580286,6.52191235059761,530.9080226405757,23.041441418465464,-0.8877062055199101,14.507062019013127,1.8877062055199114,9,"add(div(sub(ARG0, div(ARG0, ARG4)), ARG4), ARG4)"
