generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,2.7836497719999898,6441051.597746567,9263940.917383447,9315178.076984536,9340928.558426244,10838369.020755567,527235.1405707095,9185819.48006709,3.0,3.0,3.0,3.0,7.0,1.502531197679436,3.68,6353617.788882198,2520.638369318812,-0.3266000670950975,701.309,3,"subtract(ARG183, ARG170)"
2,2.7428291299984267,6284424.920219854,8844853.772672094,9292916.799617369,9332205.32757289,40802125525.16333,4085105989.490602,467617883.45795417,3.0,3.0,3.0,5.0,9.0,1.6612043823684066,4.02,6138943.217880747,2477.689088219252,-0.28177721029806646,830.731,7,"subtract(add(ARG183, ARG220), subtract(ARG41, ARG181))"
3,2.7673621570011164,6251171.287867665,7997252.628220893,9225074.83190354,9313098.434563072,5259492713.227163,523598427.8244924,67728272.72293654,1.0,3.0,3.0,7.0,13.0,2.2925095419648747,4.62,6138943.217880747,2477.689088219252,-0.28177721029806646,830.731,7,"subtract(add(ARG183, ARG220), subtract(ARG41, ARG181))"
4,2.810128387000077,6207720.454456392,7269622.741969319,8801268.651720708,9304318.53369915,415965063.250088,42400554.31957904,14445151.757720314,3.0,3.0,5.0,7.0,11.0,2.1670279636125866,5.237623762376238,6146201.545908916,2479.153392976908,-0.2832927088327779,765.321,7,"subtract(add(ARG183, ARG220), subtract(ARG195, ARG181))"
5,2.792903553998258,6233009.688659931,6447651.363402975,8509579.742050847,9227427.04368946,62403170104.074974,6207650611.84172,646707900.3301426,3.0,3.0,5.0,7.0,13.0,2.416278129686233,5.04,6146201.545908916,2479.153392976908,-0.2832927088327779,765.321,7,"subtract(add(ARG183, ARG220), subtract(ARG195, ARG181))"
6,2.806722469000306,5989495.3983105635,6420163.084592132,8239133.83816935,9216952.89115553,17553855862.49576,2474377181.2569366,411191522.9640083,3.0,3.0,5.0,7.0,15.0,2.3371777852786466,5.24,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
7,2.8222478999996383,5979925.1623004805,6419115.351968564,7880589.356925432,9200165.045017395,17485237028.80244,2410820843.8600974,350616533.6029975,3.0,3.0,5.0,7.0,11.0,2.0777930122098494,5.198019801980198,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
8,2.811626853999769,5983606.022304359,6403972.4615454115,7011949.733774065,8833242.429536738,17335231345.652122,1750830855.7066343,222654552.81128225,3.0,3.0,5.0,7.0,9.0,1.7640441545600067,5.237623762376238,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
9,2.776494696001464,5980415.943634331,6373841.525529677,6749950.381417858,8828057.84715047,24130274373.162834,4121369297.6017118,953868941.8523936,3.0,5.0,5.0,7.0,11.0,1.8078716768620497,5.54,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
10,2.79197231299986,5980906.724968181,6344152.4527975395,7022751.618150986,9320921.510240577,17469535836.422497,1745749607.1408126,220988316.47122926,3.0,5.0,5.0,7.0,11.0,1.9319420281157507,5.74,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
11,2.941142534999017,5967655.62895422,6259403.372057752,6767186.452280102,8434431.080631895,17451709058.0403,2421931654.296866,363948872.01800555,3.0,5.0,7.0,7.0,13.0,2.148492038022787,6.326732673267327,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
12,2.807611588999862,5989986.179644414,6349524.598569695,7135517.347904526,8398098.122023478,18378754273.824165,2514429154.4828815,399624103.23752844,3.0,5.0,7.0,9.0,17.0,2.930870177950569,7.3,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
13,2.8499637130007613,6010598.995666131,6282630.331745787,6843230.87207488,8440995.46910612,1077583775284.538,106688361627.31789,10701123263.60656,3.0,7.0,7.0,9.0,15.0,2.8502472560542946,8.069306930693068,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
14,2.8490623550005694,6000047.196988348,6270404.530604244,6958522.39439065,8408398.446109317,17365694991.40238,1719968695.979277,192957220.24622697,3.0,5.0,7.0,11.0,15.0,3.1157772443624108,8.069306930693068,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
15,2.860624602999451,5998820.243653722,6226806.717857666,6466389.7384868115,8500935.501851376,24952965253.40152,2471944391.038042,281803731.0852944,3.0,7.0,9.0,11.0,17.0,3.258734577104323,8.663366336633663,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
16,2.8700596829985443,5970092.451729956,6209811.956440029,6754336.07801331,8788367.832779035,6268900235151.285,620648511376.0361,62460876372.56374,3.0,7.0,9.0,11.0,19.0,3.5641364068501415,9.099009900990099,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
17,2.8783975939986703,6004738.006147947,6242316.890607191,6472477.557076335,8001631.198619276,56614613820.69768,5843885355.115943,773917209.3795342,3.0,7.0,11.0,13.0,23.0,4.374758945562738,9.990099009900991,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
18,2.8865698620011244,5956858.439609511,6220646.878132771,6508123.148816941,8048174.826202547,3035053818.553957,308289850.93673474,48185347.48480023,3.0,9.0,11.0,15.0,27.0,4.439639625014625,11.36,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
19,2.885791740000059,5998574.852986797,6144320.380138932,6410556.829642771,7351654.163827626,9455564.751623744,1007013.9917375563,6861154.373611134,3.0,9.0,13.0,15.0,23.0,4.703190406521939,12.4,5796024.487886751,2407.493403498076,-0.21017768616329247,842.6425000000002,7,"multiply(ARG57, add(ARG472, add(ARG477, ARG335)))"
20,2.9031850610008405,6002271.576620745,6233270.053109408,6493917.443475068,8151151.679774871,76782561179.32495,7776200070.534287,959064641.9277757,3.0,7.0,13.0,15.0,23.0,5.299906686092326,12.009900990099009,6005473.068309296,2450.6066735217414,-0.2539093851848675,915.9559999999999,17,"subtract(add(add(ARG183, ARG181), ARG181), subtract(ARG290, add(ARG181, add(add(ARG477, division(ARG456, ARG38)), ARG220))))"
21,2.8928713940003945,5966919.4569534445,6131525.007522152,6428638.767784407,8153133.489733521,34514559242.808304,3855271180.0208583,603992014.2970659,1.0,7.0,13.0,17.0,37.0,6.28400171710904,12.405940594059405,6005473.068309296,2450.6066735217414,-0.2539093851848675,915.9559999999999,17,"subtract(add(add(ARG183, ARG181), ARG181), subtract(ARG290, add(ARG181, add(add(ARG477, division(ARG456, ARG38)), ARG220))))"
22,2.92541161599911,5980345.974732079,6090136.147725636,6408689.193079795,7087036.198614692,676307604.125147,92889817.27932988,20137945.726844385,1.0,11.0,13.0,19.0,33.0,6.6027653408298645,14.504950495049505,5890978.557428775,2427.133815311545,-0.23000356792247256,912.3040000000001,19,"subtract(add(add(ARG181, ARG181), ARG181), subtract(ARG290, add(add(ARG181, ARG220), add(ARG181, add(ARG181, add(ARG181, ARG181))))))"
23,2.901907735998975,5935732.898373573,6083683.192740073,6320398.272743503,7248592.164336754,323890925.2451051,31614901.35610611,10199373.638651889,3.0,11.0,15.0,21.0,39.0,7.26115693261067,15.34,5974180.48960507,2444.2136751121147,-0.2473756687436226,819.8139999999999,19,"subtract(add(add(ARG183, subtract(ARG181, ARG194)), ARG181), subtract(ARG290, add(ARG181, add(add(ARG477, division(ARG456, ARG38)), ARG220))))"
24,2.94012647999989,5924083.261086827,6052476.713212328,6282196.312565614,6818935.584620695,722895362.5500993,71268060.88715267,13917700.4276812,3.0,11.0,17.0,21.0,39.0,7.318223828224989,17.06,6019234.923679276,2453.4129134084374,-0.2567827840678023,902.6124274799877,33,"subtract(add(add(ARG183, multiply(subtract(ARG366, subtract(ARG290, add(add(division(ARG477, ARG302), ARG181), add(subtract(add(ARG181, ARG220), ARG290), ARG220)))), division(ARG618, ARG115))), ARG181), subtract(ARG290, add(ARG181, add(ARG220, ARG181))))"
25,2.967963535000308,5912936.681028943,6050018.491121732,6282850.548354771,7318118.905278401,34339652757.69519,3416068645.6078477,350201052.3440846,3.0,11.0,17.0,21.0,41.0,7.864121057053993,16.66,5975565.042735424,2444.4968894918693,-0.24766475573888358,818.8332865853658,19,"subtract(add(add(ARG183, subtract(ARG181, ARG194)), ARG181), subtract(ARG290, add(ARG181, add(add(ARG477, division(ARG456, ARG181)), ARG220))))"
26,2.9650653600001533,5913179.4522837065,6078342.439108351,6280892.558960427,7025704.473584522,4478579082.247774,444924740.60883427,52537457.33580493,3.0,15.0,17.0,23.0,35.0,7.271863585079136,18.2,5975565.042735424,2444.4968894918693,-0.24766475573888358,818.8332865853658,19,"subtract(add(add(ARG183, subtract(ARG181, ARG194)), ARG181), subtract(ARG290, add(ARG181, add(add(ARG477, division(ARG456, ARG181)), ARG220))))"
27,2.9796524350003892,5899886.125101518,6079798.497913911,6265445.11363119,6774081.94805178,17880001.68357062,1484458.83623838,6769353.293802946,3.0,15.0,19.0,23.0,37.0,6.922031362576432,18.92079207920792,5975565.042735424,2444.4968894918693,-0.24766475573888358,818.8332865853658,19,"subtract(add(add(ARG183, subtract(ARG181, ARG194)), ARG181), subtract(ARG290, add(ARG181, add(add(ARG477, division(ARG456, ARG181)), ARG220))))"
