generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,20.3264393399877,0.024278602002099622,0.061514626891162515,0.2808203248175102,1.8501520269984424,524677.6885170946,56601.845139636454,8529.324007017125,0.016211844065677567,0.04101049005627432,0.18711975594059904,1.233605939532571,349806.85800376936,37736.98061651024,5686.564006044738,0.4965663082437276,0.4991164874551971,0.5000573476702509,0.5010770609318997,0.5034623655913979,0.0014257818555501016,0.5001080286738351,3.0,3.0,3.0,3.0,7.0,1.6,3.8,0.01349062006744938,0.11614912856947907,0.00839793146282597,0.04947577618053098,3,"multiply(ARG28, ARG47)"
2,20.35241931999917,0.024332757696254502,0.0438500891354823,0.0770694455772964,0.23583453957113074,576.7902734936014,62.559377224947305,10.558123239173733,0.016211844065677567,0.02924696604560294,0.05140175490156927,0.15724332443376812,385.2448681047467,41.767769610219176,7.0446821351493085,0.4972043010752688,0.4994426523297491,0.5002616487455197,0.5008978494623656,0.5037347670250896,0.0011528626804903149,0.5002256630824372,3.0,3.0,3.0,3.0,9.0,1.502531197679436,3.68,0.01349062006744938,0.11614912856947907,0.00839793146282597,0.04947577618053098,3,"multiply(ARG28, ARG47)"
3,20.328079541999614,0.022098634194782796,0.03904955968355301,0.04690204423661022,0.09251002770862449,19853298.316533454,1975378.1546495652,198533.84250147073,0.014719830922041361,0.026015850719857115,0.031252061109488125,0.06166093869046689,13247561.05977431,1318115.625108901,132476.1834544611,0.49703942652329747,0.49901612903225806,0.49999283154121865,0.5011863799283154,0.503089605734767,0.0014004302543012118,0.5000596415770608,3.0,3.0,3.0,3.0,9.0,1.554863338046145,3.68,0.011943353922554115,0.10928565286694368,0.12212675209410495,0.04354685750582028,3,"multiply(ARG27, ARG47)"
4,20.325765100016724,0.020474079768581573,0.03163651277478889,0.042318766343386924,0.054461378680187134,118569.71876190545,11797.53011179597,1185.776270017683,0.013648799467249338,0.021075673886422182,0.028227761978416678,0.03627887678596622,78940.84745518929,7854.509850473453,789.461202925112,0.49700358422939067,0.4992921146953405,0.49996057347670253,0.5009336917562723,0.5033763440860215,0.0013038273193776118,0.5000876702508961,1.0,3.0,3.0,5.0,9.0,1.5793669617919708,3.84,0.01310981426941756,0.11449809723055471,0.03638832887609289,0.03668495803888128,5,"multiply(add(ARG20, ARG27), ARG16)"
5,20.824456183006987,0.020510183044591714,0.03285772084129197,0.04150039487132337,0.04815443103646015,269.5428119804533,31.617915727510397,4.690694303353099,0.013648799467249338,0.02189426548984127,0.02764078064426113,0.032075668628770704,179.8180944266487,21.087340473687544,3.128205613060119,0.4967383512544803,0.49921863799283156,0.5000860215053764,0.5008960573476703,0.5042652329749104,0.0014385135104919627,0.500137407289116,3.0,3.0,3.0,5.0,9.0,1.7488635378867026,3.9702970297029703,0.01310981426941756,0.11449809723055471,0.03638832887609289,0.03668495803888128,5,"multiply(add(ARG20, ARG27), ARG16)"
6,21.33270814199932,0.01865615021102718,0.026816872009159196,0.035331244003018056,0.04271742480149687,1327676.9870964761,132102.1876868804,13276.81546926312,0.01244248777012546,0.017866815978773713,0.023556425076728754,0.028481051646301724,884944.5972352296,88050.87262360347,8849.476367792653,0.4970322580645161,0.4990232974910394,0.5000143369175627,0.5007437275985663,0.5029677419354839,0.001288151650439053,0.49995827956989247,3.0,3.0,3.0,5.0,9.0,1.3674794331177345,3.9,0.012101214571012583,0.11000552063879605,0.11052350889480023,0.07089370883092956,5,"multiply(ARG37, add(ARG20, ARG27))"
7,21.302143106993753,0.01538639056853109,0.024100715203185383,0.03262484573638614,0.03991308588604698,2144147.403940271,213339.96903246583,21441.51374012696,0.010259603957334948,0.01608173857454306,0.02174630110999534,0.026591651086848876,1428121.2118374913,142096.26378405897,14281.23858825011,0.49649462365591396,0.49885483870967745,0.49990681003584225,0.500983870967742,0.5031039426523297,0.0013831910410700304,0.4998788530465951,1.0,3.0,3.0,5.0,13.0,1.6608431593621353,4.04,0.008834307947448803,0.09399099928955326,0.3506511938675573,0.03759680343873406,3,"multiply(ARG27, ARG37)"
8,22.039004550984828,0.015376219416897681,0.023360728309063952,0.029900730331743945,0.03954595787006788,1.4547633786710283,0.15126069173590523,0.05693528781094539,0.010247042228939537,0.015598891789394862,0.019923595202356946,0.026365769303913072,0.9721326294428856,0.1010596395269029,0.03798525309782425,0.4963727598566308,0.4989982078853047,0.4998709677419355,0.5009229390681004,0.5029390681003584,0.0015153580981385154,0.49988164874551977,1.0,3.0,3.0,5.0,11.0,1.507846145997661,3.92,0.009176732389343448,0.09579526287527712,0.32548194418127396,0.038375174626645095,3,"multiply(ARG27, ARG39)"
9,21.548570835002465,0.015368580044913382,0.0211803644362709,0.02681999437500203,0.03317622125555794,2.5172489422348403,0.2467121719816117,0.053621350809136076,0.010246788785069438,0.0141174093556361,0.017877347754037792,0.022107760817945434,1.6772441785482781,0.16438366484496955,0.03574076511156449,0.4963010752688172,0.4987598566308244,0.5001433691756273,0.5009032258064516,0.5039641577060932,0.0014905075676814122,0.4998837432130311,1.0,3.0,3.0,5.0,5.0,0.9562531855564069,3.594059405940594,0.009176732389343448,0.09579526287527712,0.32548194418127396,0.038375174626645095,3,"multiply(ARG27, ARG39)"
10,21.31700682200608,0.015361074920906319,0.02120009844934867,0.025489039014993466,0.03152671084900956,85905.9953640106,8505.537166063381,850.6237434961255,0.010246788785069438,0.0141174093556361,0.01697508888078594,0.020992024912947223,57398.2151652632,5682.986981499078,568.3453769317103,0.49666666666666665,0.4991254480286738,0.49997132616487455,0.5007025089605734,0.5040358422939069,0.0012389729506098934,0.5000386103126442,1.0,3.0,3.0,3.0,11.0,1.1824949407392964,3.514851485148515,0.00920546126541148,0.09594509505655556,0.32337028342784824,0.038166389577545895,3,"multiply(ARG16, ARG37)"
