generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,test_rse,best_candidate_size,best_candidate_solution
1,1.873812467999997,5.23821970995828,7.441197599123644,7.480362718722441,7.484292909986429,1318340.9495503805,83211.31196515972,5289.08786566948,5.188587808117789,7.391489010166588,7.4307065389694875,7.434630383593492,1318340.8999184787,83211.3119759206,5289.038064197088,0.04907975460122699,0.0496319018404908,0.0496319018404908,0.049693251533742336,0.05147239263803682,0.0003948380847600827,0.049801472392638046,3.0,3.0,3.0,6.0,7.0,1.7366450414520522,4.008,6580925.118288702,2565.331385667104,-0.37406057360676304,731.8298571428573,1.3740605736067624,7,"add(mul(ARG7, ARG276), div(ARG260, ARG574))"
2,1.862111892999991,5.23981480198282,7.322801834860389,7.4593851082531355,7.4826772681841955,13.440457632728702,0.5374244519733631,7.345843166947307,5.188587808117789,7.271574840995358,7.408158114388105,7.431966750207991,13.392175424139745,0.5377071987705005,7.2948940798600725,0.04785276073619632,0.05122699386503067,0.05122699386503067,0.05122699386503067,0.052024539877300616,0.0008202320898399961,0.050949087087233884,3.0,3.0,3.0,5.0,9.0,1.5762801063475633,3.8844621513944224,6580925.118288702,2565.331385667104,-0.37406057360676304,731.8298571428573,1.3740605736067624,7,"add(mul(ARG7, ARG276), div(ARG260, ARG574))"
3,1.8742496280000012,4.917496480996393,6.8970441454234965,7.397307415925425,7.474055606897595,126266.51739469575,9290.972966536896,854.738432829521,4.86817132762216,6.8477189920492645,7.347982262551192,7.4248224780632395,126266.46806954237,9290.972974938333,854.6890155293963,0.04779141104294479,0.049325153374233134,0.049325153374233134,0.049325153374233134,0.05184049079754602,0.0004336479251056388,0.04941730012465476,3.0,3.0,3.0,5.0,9.0,1.5778502070892193,3.908366533864542,5984146.102137313,2446.2514388625946,-0.24945643322981037,777.0555555555555,1.2494564332298104,3,"div(ARG0, ARG233)"
4,1.8695555660000025,4.918140652775534,6.788225458401186,7.291450887558428,7.471743211688407,31679.32999069677,2724.3109550307577,311.67572558701954,4.86817132762216,6.738394170057627,7.241481562405053,7.421773886535033,31679.280021371615,2724.3109573096626,311.6257351575716,0.04868098159509202,0.04996932515337424,0.04996932515337424,0.04996932515337424,0.051196319018404914,0.0002263268595215471,0.04999042944785278,3.0,3.0,3.0,5.0,9.0,1.5816750614459343,3.952,5984146.102137313,2446.2514388625946,-0.24945643322981037,777.0555555555555,1.2494564332298104,3,"div(ARG0, ARG233)"
5,1.8566909379999998,4.843034593467081,6.269766941540845,7.121398844097618,7.464462523095952,45369.802667265794,3112.458271499105,370.95533540808935,4.793893489172603,6.2206258372463665,7.072257739803139,7.415321418801473,45369.7535261615,3112.45828398091,370.90607872097274,0.048466257668711654,0.04914110429447852,0.04914110429447852,0.04914110429447852,0.05245398773006135,0.0005025530213944929,0.04925668711656441,3.0,3.0,3.0,5.0,13.0,1.7449538675850431,3.944,5663861.516222909,2379.886870467357,-0.18258279252906484,921.72541,1.182582792529064,3,"mul(ARG0, ARG513)"
6,1.8649355009999908,4.843617415552971,6.254977209248025,7.233190920489098,7.479652708013411,404045.6027368728,26049.59753450671,2465.407968652453,4.793893489172603,6.205253282867657,7.18346699410873,7.429928781633043,404045.55246079917,26049.597499763444,2465.358238371123,0.04812883435582822,0.0497239263803681,0.0497239263803681,0.0497239263803681,0.05180981595092025,0.00031628674418927497,0.04973028132867305,1.0,3.0,3.0,5.0,13.0,1.815054792019614,3.9800796812749004,5663861.516222909,2379.886870467357,-0.18258279252906484,921.72541,1.182582792529064,3,"mul(ARG0, ARG513)"
7,1.8652659339999929,4.843862814325977,5.633899735280254,7.1506848065954145,7.4659413954281995,242652.18121184193,16466.286231595073,1604.8207607380814,4.793893489172603,5.58393041012688,7.100715481442039,7.415972070274825,242652.13124251677,16466.286232473183,1604.7707823331734,0.049355828220858905,0.04996932515337424,0.04996932515337424,0.04996932515337424,0.05052147239263804,9.657649927143045e-05,0.04997840490797548,1.0,3.0,3.0,5.0,13.0,1.8456435192094924,4.16,5663861.516222909,2379.886870467357,-0.18258279252906484,921.72541,1.182582792529064,3,"mul(ARG0, ARG513)"
8,1.917876256999989,4.843924164019229,5.232207253065587,6.748402739512773,7.445439083130381,552040.2050472362,49426.22518019017,5404.046659089133,4.793893489172603,5.182176578218961,6.698372064666147,7.395408408283755,552040.1550165613,49426.225180389156,5403.996626947759,0.0495398773006135,0.05003067484662577,0.05003067484662577,0.05003067484662577,0.051564417177914115,0.0001152543275032614,0.050032141373157674,1.0,3.0,3.0,5.0,13.0,2.0188788501439476,4.378486055776892,5663861.516222909,2379.886870467357,-0.18258279252906484,921.72541,1.182582792529064,3,"mul(ARG0, ARG513)"
9,1.881825359000004,4.844568335798369,5.185532725004263,6.257996206127,7.3416989944469755,552040.2056914079,34843.13034076089,2279.8629777360006,4.793893489172603,5.134857878378496,6.2073213595012335,7.291024147821209,552040.1550165613,34843.13033738525,2279.812354668515,0.04926380368098159,0.05067484662576687,0.05067484662576687,0.05067484662576687,0.05147239263803682,0.0002707438075777796,0.05062306748466257,1.0,3.0,3.0,5.0,13.0,2.2446380554557117,4.64,5663861.516222909,2379.886870467357,-0.18258279252906484,921.72541,1.182582792529064,3,"mul(ARG0, ARG513)"
10,1.8852435170000064,4.843617415552971,5.141664595588486,5.87203467298196,7.303974532914273,560065.21095613,35618.50251336155,2699.284873121665,4.793893489172603,5.0919406692081175,5.822310746601592,7.254250606533905,560065.1612322036,35618.502516770895,2699.235115821051,0.049355828220858905,0.0497239263803681,0.0497239263803681,0.0497239263803681,0.05193251533742332,0.0002061939734425582,0.04975730061349694,1.0,3.0,5.0,7.0,15.0,2.3620465702436944,4.856,5663861.516222909,2379.886870467357,-0.18258279252906484,921.72541,1.182582792529064,3,"mul(ARG513, ARG0)"
11,1.8899606330000012,4.839607969160775,5.121606729205313,5.800854747709907,7.190941771865438,18451309.27795613,1384629.3530974858,139971.90218974577,4.789301220694517,5.071299980739055,5.750547999243649,7.14063502339918,18451309.227649383,1384629.353099072,139971.85187713115,0.0496319018404908,0.05030674846625767,0.05030674846625767,0.05030674846625767,0.051288343558282205,0.00012219147799355913,0.05031261457238531,1.0,3.0,5.0,5.0,11.0,2.054911952452278,4.665338645418327,6070667.123229522,2463.8723837142056,-0.2675215413618901,724.1497310399999,1.2675215413618897,7,"mul(mul(ARG1, ARG213), add(ARG109, ARG392))"
