generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
1,2.8729157359994133,7658281.338848842,9298033.961445969,9327813.138270307,9355208.84928631,6.402554309892406e+19,6.370461098836033e+18,6.402554797413764e+17,3.0,3.0,3.0,3.5,7.0,1.7086837039077771,3.98,7125925.335584792,2669.442888616423,-0.4878535886818849,583.790327,3,"multiply(ARG247, ARG264)"
2,2.9847941849984636,7218267.475164749,9040472.912442997,9314904.094962254,9351521.35800342,7400508871.492058,743180917.9171684,97438376.41642742,3.0,3.0,3.0,5.0,9.0,1.6560423387766399,3.99009900990099,6914912.008029943,2629.6220275982523,-0.44379517915935196,549.5603649999999,3,"multiply(ARG57, ARG487)"
3,2.920800092997524,6847708.186868221,8906955.63117976,9276878.796396017,9344107.51722353,37819014681.73279,4210762395.3289213,597421180.7235304,1.0,3.0,3.0,3.0,11.0,1.5697363312955575,3.6534653465346536,6640563.644198927,2576.929111209489,-0.3865127662162078,491.94945999999993,7,"add(ARG501, subtract(multiply(ARG260, ARG460), ARG394))"
4,2.7893083710005158,6018399.487532597,8368491.464957484,9247722.107260779,9332407.57986072,891384326706.1083,88694246925.70287,9196788308.843441,1.0,3.0,3.0,3.0,9.0,1.4981321704042003,3.66,6244154.920974068,2498.8307107473424,-0.30374482890852517,697.7486105599997,7,"multiply(subtract(multiply(ARG260, ARG460), ARG394), ARG264)"
5,2.9487712000009196,6024803.612386319,8297785.176172539,9135086.993805628,9322853.047554595,330131615939.0169,45962200651.407074,6764677065.562668,1.0,3.0,3.0,5.0,7.0,1.4342430861173716,3.772277227722772,6244154.920974068,2498.8307107473424,-0.30374482890852517,697.7486105599997,7,"multiply(subtract(multiply(ARG260, ARG460), ARG394), ARG264)"
6,2.8047845649998635,6045247.549419355,7722012.002186118,8896882.709759247,9307851.47984253,329888981130.84644,32659298464.232994,3299935413.703241,1.0,3.0,3.0,5.0,13.0,1.7682625029073922,3.891089108910891,6244154.920974068,2498.8307107473424,-0.30374482890852517,697.7486105599997,7,"multiply(subtract(multiply(ARG260, ARG460), ARG394), ARG264)"
7,2.826378718000342,6009532.2377351355,7382752.484732189,8546201.476923335,9268195.509888459,53493913650.917496,5309821199.21814,609104703.2661792,3.0,3.0,3.0,5.0,9.0,1.8224277805692735,4.366336633663367,6244154.920974068,2498.8307107473424,-0.30374482890852517,697.7486105599997,7,"multiply(subtract(multiply(ARG260, ARG460), ARG394), ARG264)"
8,2.780295083000965,5778467.778241021,7091061.8927539,8434547.469393816,9293377.325613534,307532517862.45935,42465337563.94295,6754331507.938628,1.0,3.0,5.0,7.0,9.0,2.125182345117708,4.94,5848792.54812997,2418.427701654521,-0.2211953637424544,833.116225,7,"multiply(subtract(multiply(ARG57, ARG460), ARG487), ARG264)"
9,2.829986139000539,5791494.614647269,7238120.42535352,8510824.980171181,9269713.082529154,281543890025.47284,28399439466.760876,3656253900.1235867,1.0,3.0,5.0,7.0,15.0,2.8717650677676514,5.554455445544554,5848792.54812997,2418.427701654521,-0.2211953637424544,833.116225,7,"multiply(subtract(multiply(ARG57, ARG460), ARG487), ARG264)"
10,2.8223466589988675,5800180.441016467,7349169.533109664,8965497.411055043,9356945.611825053,302471470423.33276,29942836315.552162,3182139230.9529376,1.0,3.0,5.0,7.0,15.0,2.590504706774342,5.732673267326732,5848792.54812997,2418.427701654521,-0.2211953637424544,833.116225,7,"multiply(subtract(multiply(ARG57, ARG460), ARG487), ARG264)"
11,2.8269149219995597,5772201.482139844,6895722.912945805,9058045.430283153,9325835.135861825,2311129982484.499,284209727414.8797,40310799441.589615,1.0,3.0,7.0,7.0,13.0,2.5559133148930777,6.108910891089109,5848792.54812997,2418.427701654521,-0.2211953637424544,833.116225,7,"multiply(subtract(multiply(ARG57, ARG460), ARG487), ARG264)"
12,2.8181708740012255,5788826.414903668,7151287.058869287,9068764.11849789,9321327.284428144,321211272154283.75,31960071533171.254,3212576039094.2764,1.0,5.0,7.0,7.0,13.0,2.613426869074396,6.5,5828447.599197206,2414.2178027670175,-0.21694745152675932,820.7711999999999,7,"multiply(subtract(multiply(ARG57, ARG460), ARG621), ARG264)"
13,2.820174238000618,5762837.973939585,6877218.820606585,8403730.989092443,9265094.997030772,5.221584520307634e+16,5195410969795882.0,522158747550300.2,3.0,5.0,7.0,7.5,13.0,2.551470164434615,6.7,5828447.599197206,2414.2178027670175,-0.21694745152675932,820.7711999999999,7,"multiply(subtract(multiply(ARG57, ARG460), ARG621), ARG264)"
14,2.844278928001586,5761477.258337719,6533442.701169098,8185433.812645937,9293207.366246257,391950574613.3876,42997687418.82514,5976835875.216698,3.0,5.0,7.0,7.0,15.0,2.596250302979662,6.821782178217822,5828447.599197206,2414.2178027670175,-0.21694745152675932,820.7711999999999,7,"multiply(subtract(multiply(ARG57, ARG460), ARG621), ARG264)"
15,2.8145036840032844,5733307.7352521,6522836.684085249,8233630.345583065,9343818.128200257,10610321058356.725,1058497170754.9882,119560858834.6602,3.0,5.0,7.0,7.0,15.0,2.6329451190634416,6.74,5828447.599197206,2414.2178027670175,-0.21694745152675932,820.7711999999999,7,"multiply(subtract(multiply(ARG57, ARG460), ARG621), ARG264)"
16,2.822877170998254,5739438.875281758,6295540.230107337,7572716.401922453,9235561.866845375,187066744633.11368,19075804668.596714,2743448171.0682797,3.0,5.0,7.0,7.0,15.0,2.5095019426172995,6.68,5825908.743943653,2413.6919322779477,-0.21641735266629558,819.322975,5,"multiply(ARG264, multiply(ARG57, ARG460))"
17,2.841447636998055,5767327.692144975,6586265.578413857,8580884.574540593,9627275.878239188,2.101051059743552e+18,2.080248573519754e+17,2.0802486223798108e+16,3.0,5.0,7.0,7.0,13.0,2.3140374111669773,6.564356435643564,5825908.743943653,2413.6919322779477,-0.21641735266629558,819.322975,5,"multiply(ARG264, multiply(ARG57, ARG460))"
18,2.809286798001267,5737549.278239232,6551024.9033925375,8203262.365750657,9197474.642150292,188621416193379.28,18767453496746.676,1887632301821.2937,3.0,5.0,7.0,7.0,13.0,2.5079074943067576,6.48,5825908.743943653,2413.6919322779477,-0.21641735266629558,819.322975,5,"multiply(multiply(ARG57, ARG460), ARG264)"
19,2.80710128300052,5758905.796980007,6478129.556788557,8513341.73772633,9288623.76173163,984457470157.9745,105021244848.73221,14987110604.451416,1.0,5.0,5.0,7.0,15.0,2.582634314028992,6.3,5825908.743943653,2413.6919322779477,-0.21641735266629558,819.322975,5,"multiply(multiply(ARG57, ARG460), ARG264)"
20,2.8825022270029876,5760795.201769042,6485487.406895496,8141684.655997361,9266750.410949085,2957823734656.55,294100839266.67,33812716375.261154,1.0,5.0,7.0,9.0,13.0,2.776376036436077,6.584158415841584,5825908.743943653,2413.6919322779477,-0.21641735266629558,819.322975,5,"multiply(ARG249, multiply(ARG57, ARG460))"
21,2.8312392740008363,5728028.425974203,6198512.636848939,8237730.047864017,9211112.986017857,2958657238218.0615,477463987318.3859,84048467610.26414,1.0,5.0,7.0,7.0,15.0,2.7739740210435584,6.524752475247524,5747797.520359918,2397.4564689186573,-0.2001081634940438,858.3864159999999,9,"multiply(subtract(multiply(add(ARG57, ARG319), ARG460), ARG264), ARG264)"
22,2.8528923409976414,5693586.7105181385,6367339.947352381,8853525.557476267,9388475.937520416,2938330277470.514,400759946215.92755,58698867652.05017,1.0,5.0,7.0,9.0,13.0,2.728939909220153,6.603960396039604,5743497.502855887,2396.5595137312753,-0.1992103437480499,856.898016,7,"multiply(multiply(add(ARG57, ARG319), ARG460), ARG264)"
23,2.839907615998527,5722133.455072715,6884417.668901025,9046664.15634328,15505291.385165572,12190972693.598343,2345154593.099202,542982735.4117978,1.0,5.0,7.0,9.0,13.0,2.7158327407514755,6.445544554455446,5819033.375720751,2412.267268716456,-0.21498181400960048,795.7282269750001,9,"multiply(subtract(multiply(add(ARG57, ARG319), ARG460), ARG260), ARG264)"
24,2.8297149069985608,5715578.7038937425,6444740.412678212,8597507.935180258,9210351.597857159,2956843816954.9033,322719001134.8921,43453764220.57228,1.0,3.0,5.0,9.0,15.0,2.8773578704900595,6.089108910891089,5819033.375720751,2412.267268716456,-0.21498181400960048,795.7282269750001,9,"multiply(subtract(multiply(add(ARG57, ARG319), ARG460), ARG260), ARG264)"
25,2.8177732749973075,5698499.8154211985,5957056.6301842,8797218.102039969,9330357.971456118,10223342389257.879,1076744460938.1974,148342963264.25537,1.0,5.0,5.0,9.0,15.0,2.9191779664830304,6.28,5819033.375720751,2412.267268716456,-0.21498181400960048,795.7282269750001,9,"multiply(subtract(multiply(add(ARG57, ARG319), ARG460), ARG260), ARG264)"
26,2.8456037840005592,5703996.528782498,5981035.513856432,8861981.350910604,9317112.310757037,2970504923804.029,295508259398.5512,30746896057.83639,1.0,5.0,5.0,9.0,15.0,2.937754244316566,6.36,5745474.52618594,2396.97194939489,-0.1996231352267701,858.0106559999999,9,"multiply(subtract(multiply(add(ARG57, ARG319), ARG460), ARG378), ARG264)"
27,2.811970377999387,5671081.540667251,7630306.8235515915,9133436.87331247,12590358.424158553,4233907808044175.0,421268275355860.1,42341392485931.23,1.0,3.0,7.0,9.0,19.0,3.7621270579287986,6.92,5648619.067887881,2376.6823657964646,-0.17940025406738336,864.4821669999999,9,"multiply(ARG264, multiply(add(ARG393, add(ARG57, ARG319)), ARG460))"
28,2.8098776459992223,5585953.287887292,6478174.670216847,8839819.642485682,9283431.495178243,140582575343.70453,18280985267.43157,3194382622.804755,1.0,3.0,7.0,9.0,15.0,3.723224409030431,6.76,5438598.974147777,2332.0803961587126,-0.13554922624281573,909.148882654,11,"multiply(subtract(multiply(add(ARG57, add(ARG393, ARG460)), ARG460), ARG260), ARG264)"
29,2.832301720001851,5584587.58478932,6908955.633002037,8884342.182055369,9334465.453888886,3293791589639.947,327734002616.84784,34912649505.24251,1.0,3.0,7.0,9.0,19.0,4.121941290217511,7.36,5438598.974147777,2332.0803961587126,-0.13554922624281573,909.148882654,11,"multiply(subtract(multiply(add(ARG57, add(ARG393, ARG460)), ARG460), ARG260), ARG264)"
30,2.8384504160021606,5551583.093255004,6793115.477275239,8821805.85829221,9251492.742224999,4641896049199.681,459569994735.26337,46612204171.771255,1.0,3.0,7.0,9.0,17.0,3.6054833035219147,6.445544554455446,5438598.974147777,2332.0803961587126,-0.13554922624281573,909.148882654,11,"multiply(subtract(multiply(add(ARG57, add(ARG393, ARG460)), ARG460), ARG260), ARG264)"
31,2.830450337001821,5535296.262815461,6163964.762217812,8844750.568963833,9375385.415765282,47186122688212.48,4705012060132.761,512029792219.2427,1.0,5.0,9.0,11.0,19.0,3.9643915043799596,7.94,5314660.682853203,2305.3547845945977,-0.10967160013903343,1006.6616865668814,11,"multiply(subtract(multiply(add(ARG57, multiply(ARG264, ARG460)), ARG460), ARG260), ARG264)"
