generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,best_candidate_size,best_candidate_solution
201,23.884140437992755,0.009997991814825297,0.010149922156862685,0.010902097438985927,0.014127382603309459,0.06799596069351735,0.009801327507164555,0.014534885507115217,0.006669999245539114,0.006759843747283985,0.007275131521350515,0.009419380442880486,0.04532890745751976,0.006533986601794168,0.009689793544726079,0.4955770609318996,0.49908243727598567,0.499921146953405,0.5008817204301075,0.5043655913978494,0.0013545597024985521,0.50001589836403,3.0,21.0,29.0,37.0,69.0,14.20087795913734,30.603960396039604,0.008029702847663939,0.08960860922737245,0.40979214345424864,0.03231423773931094,31,"multiply(add(multiply(add(add(ARG114, multiply(subtract(ARG31, ARG114), ARG44)), add(ARG44, multiply(add(ARG44, multiply(subtract(ARG37, add(ARG44, ARG107)), ARG114)), add(ARG37, ARG114)))), multiply(ARG39, ARG44)), ARG39), ARG49)"
202,23.886079479998443,0.00998767507240229,0.010205032147621976,0.010651412864697254,0.01317257877416456,0.10156152526782417,0.009895394117554671,0.013410201971478873,0.006653457967499269,0.0068025576112616575,0.007105279996022857,0.00878477335466142,0.06774459095928712,0.006601065761107887,0.008940081634383805,0.4961505376344086,0.49929569892473114,0.500179211469534,0.5010394265232975,0.5048817204301075,0.001454939347190025,0.5001266666666666,3.0,25.0,29.0,45.0,73.0,15.363905753420903,32.48,0.0078000089987747085,0.08831765960879347,0.42667534782514216,0.03229269004926616,33,"multiply(add(multiply(add(add(ARG114, multiply(subtract(ARG31, ARG114), ARG44)), add(ARG44, multiply(add(ARG44, multiply(subtract(ARG37, ARG114), ARG114)), add(ARG31, add(ARG114, multiply(ARG31, ARG44)))))), multiply(ARG39, ARG44)), ARG39), ARG49)"
203,23.580311020981753,0.009981808582581483,0.010211450328887041,0.010789608761031022,0.013242377302940592,0.10369852393709275,0.015834403842582067,0.015252271834035578,0.006653457967499269,0.006802641133762668,0.007194851718831764,0.008823415230227439,0.06908909638039956,0.010552983129516264,0.010167661410238721,0.4971899641577061,0.4994802867383512,0.500068100358423,0.500820788530466,0.503426523297491,0.0012182607448976365,0.5000572759856631,3.0,24.5,29.0,33.5,65.0,13.420819647100544,30.04,0.0078000089987747085,0.08831765960879347,0.42667534782514216,0.03229269004926616,33,"multiply(add(multiply(add(add(ARG114, multiply(subtract(ARG31, ARG114), ARG44)), add(ARG44, multiply(add(ARG44, multiply(subtract(ARG37, ARG114), ARG114)), add(ARG31, add(ARG114, multiply(ARG31, ARG44)))))), multiply(ARG39, ARG44)), ARG39), ARG49)"
204,23.544620459986618,0.009983477908953257,0.010150663812587831,0.010674596640927502,0.013009406160421264,0.1919384071475969,0.026344907863064558,0.018411621258199423,0.006653457967499269,0.006770223661139012,0.007119515221469357,0.00867239238258972,0.12821628979116875,0.017583189033630504,0.012277402276220262,0.496989247311828,0.4990716845878136,0.5001827956989248,0.5008978494623656,0.5029462365591398,0.0012999984070081853,0.4999898924731183,3.0,22.5,29.0,35.0,83.0,15.186836405255706,30.2,0.0078000089987747085,0.08831765960879347,0.42667534782514216,0.03229269004926616,33,"multiply(add(multiply(add(add(ARG114, multiply(subtract(ARG31, ARG114), ARG44)), add(ARG44, multiply(add(ARG44, multiply(subtract(ARG37, ARG114), ARG114)), add(ARG31, add(ARG114, multiply(ARG31, ARG44)))))), multiply(ARG39, ARG44)), ARG39), ARG49)"
205,23.534752489009406,0.0099828501622992,0.010062252958264106,0.01036298870352333,0.012960698114593697,19.575414624093632,1.9461864071142887,0.21552745656694036,0.006653457967499269,0.006703811440952182,0.006903410724461358,0.0086376142183019,13.054893200276618,1.2979169658735417,0.14373182672163193,0.49637992831541217,0.4989068100358423,0.499921146953405,0.5009802867383513,0.5043870967741936,0.0015343465964921445,0.4999711827956989,5.0,25.0,29.0,33.0,67.0,12.047422960948952,29.86,0.0078000089987747085,0.08831765960879347,0.42667534782514216,0.03229269004926616,33,"multiply(add(multiply(add(add(ARG114, multiply(subtract(ARG31, ARG114), ARG44)), add(ARG44, multiply(add(ARG44, multiply(subtract(ARG37, ARG114), ARG114)), add(ARG31, add(ARG114, multiply(ARG31, ARG44)))))), multiply(ARG39, ARG44)), ARG39), ARG49)"
206,23.701738678006222,0.009966736950196325,0.010087835109612739,0.010519257887655138,0.01232334979919868,0.461357981632082,0.04863905147193128,0.019459140536514898,0.006653457967499269,0.006723873676564504,0.0070089717917305085,0.008212238038436797,0.30703202223890813,0.03237336531721296,0.012968488549347538,0.49572043010752687,0.4988225806451613,0.49973118279569895,0.5007670250896057,0.5027813620071685,0.0013423312684120855,0.4997766308243728,1.0,23.0,31.0,35.0,63.0,12.197360370178458,30.38,0.0078000089987747085,0.08831765960879347,0.42667534782514216,0.03229269004926616,33,"multiply(add(multiply(add(add(ARG114, multiply(subtract(ARG31, ARG114), ARG44)), add(ARG44, multiply(add(ARG44, multiply(subtract(ARG37, ARG114), ARG114)), add(ARG31, add(ARG114, multiply(ARG31, ARG44)))))), multiply(ARG39, ARG44)), ARG39), ARG49)"
207,23.68252300398308,0.009965348335215339,0.010052708581303109,0.010557327399535566,0.013211989865600151,56.96207546806108,5.638187775297465,0.5855557545446706,0.006649635235806828,0.006700374094483884,0.007029688272985477,0.00881195177882165,37.942078631497495,3.755560192163403,0.3900422021320091,0.49546953405017924,0.4986379928315412,0.4996129032258064,0.5007168458781363,0.5039211469534051,0.0016071097142915703,0.49971993328365094,5.0,23.0,29.0,33.0,79.0,10.895804559747539,29.11881188118812,0.007811260294171556,0.08838133453490933,0.42584834300746477,0.03230018659837036,33,"multiply(add(multiply(add(add(ARG114, multiply(subtract(ARG31, ARG114), ARG44)), add(ARG44, multiply(add(ARG44, multiply(subtract(ARG37, ARG31), ARG114)), add(ARG31, add(ARG114, multiply(ARG31, ARG44)))))), multiply(ARG39, ARG44)), ARG39), ARG49)"
208,22.979431578016374,0.00995819953818068,0.010155120341162003,0.010655695847862964,0.013220766931954498,1.3262961712878283,0.17201605293086747,0.040897716002939545,0.006649223785551518,0.006771950134890963,0.00710573357143704,0.008813233200105578,0.8851915694789946,0.11477468800841137,0.027280711601474314,0.4966953405017921,0.49893369175627245,0.499831541218638,0.5008835125448028,0.503268817204301,0.0013750004642329502,0.49988243727598575,3.0,19.0,27.0,31.5,57.0,11.558961891104236,25.48,0.007811260294171556,0.08838133453490933,0.42584834300746477,0.03230018659837036,33,"multiply(add(multiply(add(add(ARG114, multiply(subtract(ARG31, ARG114), ARG44)), add(ARG44, multiply(add(ARG44, multiply(subtract(ARG37, ARG31), ARG114)), add(ARG31, add(ARG114, multiply(ARG31, ARG44)))))), multiply(ARG39, ARG44)), ARG39), ARG49)"
209,22.949687072017696,0.009902930382582277,0.010084115733397087,0.010960720191039847,0.014577142828134304,0.8773927021276313,0.1596418918705544,0.0476162288067513,0.00660466805172127,0.006727045802013059,0.007303995030460706,0.009712828955562894,0.5855889172342741,0.10644625387460895,0.03174912403303237,0.4955913978494624,0.4989964157706093,0.4999569892473118,0.5009910394265232,0.5035412186379928,0.0014306646806827473,0.49989498207885313,3.0,19.0,27.0,31.0,63.0,10.674736530706507,24.9,0.007434408388979564,0.0862230154249987,0.4535481171358755,0.030623710050703107,33,"multiply(add(multiply(add(add(ARG114, multiply(subtract(ARG31, ARG114), ARG44)), add(ARG44, multiply(add(ARG44, multiply(subtract(ARG37, ARG31), ARG114)), add(ARG31, add(ARG114, multiply(ARG31, ARG44)))))), multiply(ARG39, ARG44)), ARG37), ARG49)"
210,23.255425932002254,0.009898906032873344,0.010038682671606684,0.010582316539694287,0.012730821994291753,2.3084680705396874,0.2305230238250865,0.04045588831558734,0.00660466805172127,0.006692934894683645,0.007062049981278883,0.008481501146778753,1.5393171059840463,0.15371384180962108,0.026974958625932306,0.49672401433691754,0.4989713261648745,0.49989247311827956,0.5007025089605734,0.5025663082437276,0.0012010358534127652,0.49986236559139785,3.0,22.5,29.0,33.0,65.0,11.101351269102334,27.6,0.007434408388979564,0.0862230154249987,0.4535481171358755,0.030623710050703107,33,"multiply(add(multiply(add(add(ARG114, multiply(subtract(ARG31, ARG114), ARG44)), add(ARG44, multiply(add(ARG44, multiply(subtract(ARG37, ARG31), ARG114)), add(ARG31, add(ARG114, multiply(ARG31, ARG44)))))), multiply(ARG39, ARG44)), ARG37), ARG49)"
