generation_num,generation_time,training_fitness_min,training_fitness_lq,training_fitness_med,training_fitness_uq,training_fitness_max,training_fitness_std,training_fitness_mean,errors_min,errors_lq,errors_med,errors_uq,errors_max,errors_std,errors_mean,bounds_min,bounds_lq,bounds_med,bounds_uq,bounds_max,bounds_std,bounds_mean,size_min,size_lq,size_med,size_uq,size_max,size_std,size_mean,test_mse,test_rmse,test_r2,test_mae,test_rse,best_candidate_size,best_candidate_solution
1,28.46451100000013,4.219436483750778,7.768543818208359,349.79258879227984,5319.491192723932,1739356085017258.8,110009888385251.81,7692865054073.917,4.168881698729973,7.718821210718761,349.74242929158635,5319.440637938911,1739356085017258.8,110009888385251.83,7692865054073.864,0.049167822468793344,0.05055478502080444,0.05055478502080444,0.05055478502080444,0.05083217753120666,0.0004222919791766219,0.050363273231622756,3.0,3.0,3.0,7.0,7.0,1.7376950250259682,4.304,828.8855860450185,28.790373148763088,-1.9472006406324063,16.984145454545455,2.9472006406324085,7,"add(div(ARG3, ARG0), div(ARG0, ARG4))"
2,28.148387000000184,4.218964916483094,7.554414094970571,22.98805805489052,2081.471298383335,642064451.8495898,63135580.738483205,10476255.166240733,4.168881698729973,7.50433087721745,22.93814127264364,2081.421298383335,642064451.7996731,63135580.73848567,10476255.11618332,0.049500693481276004,0.05008321775312067,0.05008321775312067,0.05008321775312067,0.050499306518724,0.00010518482992868502,0.05005741251360716,1.0,3.0,3.0,5.0,13.0,1.7457292669487365,4.155378486055777,828.8855860450185,28.790373148763088,-1.9472006406324063,16.984145454545455,2.9472006406324085,7,"add(div(ARG3, ARG0), div(ARG0, ARG4))"
3,28.882211000000098,4.08188323319359,6.905644232053238,7.720871521136411,46.97820918848031,1213399631.0543175,76586802.87083964,4892888.274912876,4.0322715827081534,6.856032581567802,7.6712598706509745,46.92851778764813,1213399631.004706,76586802.87084459,4892888.225223665,0.04951456310679612,0.04961165048543689,0.04961165048543689,0.04961165048543689,0.05051317614424411,0.00022996221234919325,0.04968920943134536,1.0,3.0,3.0,5.0,13.0,1.7848428502251954,4.344,909.407008737628,30.156375921811758,-2.233504073264908,19.71454545454545,3.233504073264907,7,"add(div(ARG3, ARG4), div(ARG0, ARG1))"
4,28.05777399999988,3.6406461912398798,6.81660148997788,7.6602369085066835,20.43353888494893,1913831.4113512544,145915.14439862414,16201.461626978216,3.5908750400609617,6.766830338798962,7.610465757327765,20.383913364837973,1913831.3612472322,145915.1443948375,16201.411818970302,0.049438280166435505,0.04977115117891817,0.04977115117891817,0.04977115117891817,0.05067267683772539,0.00015729382812908037,0.049808007912870024,3.0,3.0,3.0,5.0,11.0,1.8433088012346008,4.346613545816733,761.3936557602668,27.593362530874465,-1.7072251077945917,19.74018392726513,2.7072251077945917,5,"mul(div(ARG3, ARG5), ARG0)"
5,27.888467000000674,3.640549103861239,6.032842236616959,7.502879951842923,7.762301526324896,24325594.874629214,1532329.3005458845,97471.1168243719,3.5908750400609617,5.983168172816682,7.453205888042645,7.712627462524617,24325594.82495515,1532329.3005477865,97471.06711825875,0.04898058252427184,0.04967406380027739,0.04967406380027739,0.04967406380027739,0.050950069348127604,0.00020936043354025327,0.04970611313414857,3.0,3.0,3.0,5.0,13.0,2.0986904287790886,4.569721115537849,761.3936557602668,27.593362530874465,-1.7072251077945917,19.74018392726513,2.7072251077945917,5,"mul(div(ARG3, ARG5), ARG0)"
6,28.106437999999798,1.9018991398800913,5.406907952066035,7.327426680087184,7.759979115894164,219372.49242299012,13848.450508403848,1114.3929922350446,1.8514345074251675,5.356443319611111,7.27696204763226,7.70951448343924,219372.44195835767,13848.450506154884,1114.3425647908684,0.049299583911234394,0.05046463245492372,0.05046463245492372,0.05046463245492372,0.05054785020804438,0.00015968738329128051,0.050427444176138723,1.0,3.0,5.0,5.0,13.0,2.323307037647218,4.856573705179283,424.6219633968852,20.606357353906226,-0.5097935633325412,14.5972,1.5097935633325423,5,"sub(mul(ARG0, 0.1655), 0.6028)"
7,28.11215799999991,1.9027313174112979,4.909734172062131,7.3863160178717155,7.762445642229872,14593761.72777034,921310.1394350906,61865.76216846468,1.8514345074251675,4.858437362076001,7.335019207885585,7.711148832243742,14593761.67647353,921310.139432704,61865.710971626984,0.04857836338418863,0.05129680998613038,0.05129680998613038,0.05129680998613038,0.05143550624133149,0.0004617891214980405,0.051196837725381424,1.0,3.0,5.0,7.0,15.0,2.7240088105584386,5.424,424.6219633968852,20.606357353906226,-0.5097935633325412,14.5972,1.5097935633325423,5,"sub(mul(ARG0, 0.1655), 0.6028)"
8,28.33064800000011,1.9015801384931286,4.794837317112682,7.3511759383756425,8.26378620608864,44417153113.582726,2797961517.6407065,177704653.31000388,1.8514345074251675,4.744802643048882,7.301030307307681,8.213404791386836,44417153113.53258,2797961517.640706,177704653.2598642,0.04964632454923717,0.050145631067961174,0.050145631067961174,0.050145631067961174,0.05061719833564493,8.268032110513444e-05,0.05013960800349228,1.0,3.0,5.0,7.0,17.0,3.1272235783663334,6.131474103585657,424.6219633968852,20.606357353906226,-0.5097935633325412,14.5972,1.5097935633325423,5,"sub(mul(ARG0, 0.1655), 0.6028)"
9,28.565685999999914,1.900761830587442,4.311709504462936,7.2936475642493175,14.454134057127975,74901053026.66066,4718576525.122947,303793861.4105093,1.8514345074251675,4.262382181300661,7.244320241087043,14.4048067339657,74901053026.611,4718576525.122928,303793861.3611245,0.04900832177531207,0.04932732316227462,0.04932732316227462,0.04932732316227462,0.050728155339805826,0.00025197986546776044,0.04938479093335396,1.0,5.0,7.0,9.0,19.0,3.369698411291048,6.912350597609562,424.6219633968852,20.606357353906226,-0.5097935633325412,14.5972,1.5097935633325423,5,"sub(mul(ARG0, 0.1655), 0.6028)"
10,28.640746000000036,1.9020100968842522,4.257310459085301,6.400166637353691,7.761367951133595,209322894.8331874,13192212.236246144,864366.5151173527,1.8514345074251675,4.206734869626216,6.349591047894607,7.71079236167451,209322894.78261182,13192212.236243233,864366.4645862457,0.0494244105409154,0.05057558945908461,0.05057558945908461,0.05057558945908461,0.050728155339805826,0.0001897818827648277,0.0505311071939703,3.0,5.0,7.0,9.0,17.0,3.1608468049817127,7.3585657370517925,424.6219633968852,20.606357353906226,-0.5097935633325412,14.5972,1.5097935633325423,5,"sub(mul(ARG0, 0.1655), 0.6028)"
