   	      	            fitness            	              size
   	      	-------------------------------	-------------------------------
gen	nevals	max    	mean   	min    	std    	max	mean   	min	std
77 	202   	788.888	62.6943	10.9695	94.3353	59 	28.6067	3  	8.16611
78 	223   	1269.25	65.2033	10.9695	107.812	57 	28.0533	3  	8.20145
79 	229   	829.961	68.939 	10.9695	98.7011	59 	27.1933	3  	9.72296
80 	203   	2496.14	68.9828	10.9695	175.226	57 	27.94  	3  	8.55315
81 	221   	2698.48	73.7668	10.9695	174.217	55 	27.9933	3  	8.9911
82 	221   	2661.66	88.2767	10.9695	214.833	57 	28.1   	3  	8.83346
83 	236   	779.563	66.1066	10.9695	92.4431	57 	28.4333	3  	7.86801
84 	205   	818.331	66.3067	10.9695	90.9693	59 	28.2933	3  	7.99879
85 	207   	2622.01	66.8291	10.9695	164.097	59 	28.0067	3  	8.33866
86 	223   	2661.66	78.6893	10.9695	226.006	55 	28.72  	3  	7.23521
87 	227   	2326.78	75.4019	10.9695	155.953	57 	28.2267	3  	8.39774
88 	224   	829.961	62.4882	10.9695	87.5821	47 	27.8133	1  	7.9803
89 	201   	2661.66	77.0675	10.9695	216.722	55 	28.1933	3  	8.07977
90 	213   	2295.77	66.3627	10.9695	149.043	61 	28.1667	3  	8.64169
91 	216   	2661.66	69.0862	10.9695	171.896	53 	28.0533	3  	7.81177
92 	229   	2661.66	73.0241	5.47518	202.93 	55 	27.9333	3  	8.52656
93 	221   	1719.06	69.4097	5.47518	125.439	57 	27.5667	3  	8.65865
94 	202   	398.653	56.5069	5.47518	66.8212	51 	28.42  	3  	7.41329
95 	219   	2288.71	81.9413	5.47518	196.312	55 	28.1   	3  	8.94148
96 	223   	999.613	63.4147	4.15518	95.5316	49 	27.8133	3  	7.54753
97 	216   	2014.41	71.8207	4.15518	140.047	57 	27.88  	3  	9.19704
98 	207   	488.666	54.6087	5.47518	64     	53 	27.8667	3  	8.21029
99 	208   	2288.71	72.3678	5.47518	154.753	61 	28.0733	3  	8.70754
100	222   	2288.71	67.3259	5.47518	149.577	55 	28.2267	3  	8.1217
101	210   	1476.72	62.0269	5.47518	113.059	57 	27.56  	1  	8.72122
102	228   	578.456	65.4584	5.47518	77.3056	55 	27.9067	3  	8.34294
103	218   	2551.69	78.3251	5.47518	176.236	53 	28.16  	3  	8.55966
104	234   	2158.6 	71.6064	5.47518	150.723	55 	28.0867	3  	8.80033
105	208   	814.25 	64.227 	5.47518	93.0147	53 	29.3133	1  	7.84656
106	217   	461.513	63.7204	5.47518	73.0358	49 	28.9067	3  	7.67797
107	232   	776.81 	68.6777	5.47518	87.1578	61 	28.96  	1  	9.01545
108	224   	2296.7 	85.2578	5.47518	202.833	55 	29.38  	3  	9.45739
109	230   	2160.31	72.857 	5.47518	144.361	55 	29.8333	3  	8.38643
110	233   	733.641	72.7508	5.47518	102.24 	59 	29.8533	3  	8.30051
111	229   	2611.02	72.0634	5.47518	164.672	61 	29.0133	3  	9.27217
112	215   	2588.78	74.7245	5.47518	175.033	63 	30     	3  	9.60625
113	222   	580.292	58.7664	5.47518	83.0438	61 	29.66  	3  	9.5487
114	254   	2733.86	91.4471	4.15518	254.336	59 	29.34  	3  	10.0799
115	226   	526.27 	66.2763	4.15518	85.488 	57 	29.62  	1  	8.60091
116	235   	2733.86	82.9377	4.15518	219.395	57 	29.3533	1  	9.79771
117	226   	721.69 	59.8903	4.15518	83.0043	55 	29.5   	3  	8.48076
118	213   	2158.6 	60.949 	4.15512	137.635	55 	28.9133	3  	9.25666
119	212   	381.309	52.5241	4.15512	62.2229	61 	30.24  	3  	8.19649
120	218   	2699.96	75.5165	4.15512	185.134	55 	30.04  	1  	8.59525
121	219   	580.892	60.3283	4.15512	79.0739	53 	30.6733	3  	7.75199
122	219   	2217.37	70.0631	4.15518	152.469	63 	30.08  	1  	8.63367
123	226   	2217.37	75.221 	4.15518	152.346	61 	29.8   	3  	9.12579
124	226   	2733.86	68.6964	4.15518	177.771	59 	30.3133	3  	9.37915
125	230   	678.072	68.9718	4.15518	93.3955	65 	31.0067	1  	8.70479
126	223   	1191.47	68.0497	4.15518	111.199	61 	30.9267	3  	9.59764
127	222   	2397.88	72.5708	4.15518	189.852	61 	30.76  	3  	9.84932
128	227   	457.176	60.6556	4.15518	76.2199	55 	31.36  	3  	8.64583
129	231   	784.299	52.0702	4.15518	78.4344	57 	31.8533	3  	8.7707
130	223   	703.829	55.5564	4.15518	78.8263	55 	31.72  	3  	8.19847
131	242   	2699.96	78.4995	4.15518	181.137	67 	31.6   	1  	9.66851
132	205   	2699.96	82.086 	3.57985	255.208	63 	31.9933	3  	9.38012
133	209   	2475.3 	61.9108	3.57985	159.288	63 	31.52  	1  	9.33075
134	213   	1251.25	58.9483	3.57985	102.187	65 	32.08  	1  	9.74236
135	229   	752.198	64.5224	3.57985	93.6527	67 	31.6333	3  	9.82033
136	215   	2436.21	63.1708	3.57985	163.367	63 	32.54  	3  	7.88512
137	215   	725.135	63.3528	3.28278	94.5901	65 	31.8867	1  	9.57778
138	234   	880.752	56.3187	3.28278	78.3994	55 	31.3467	3  	8.89568
139	237   	2475.3 	80.9208	3.28278	171.298	67 	32.1133	3  	10.1351
140	198   	2189.6 	67.6038	3.02224	150.517	67 	32.1333	3  	9.40189
141	220   	754.988	52.0645	3.02224	84.3362	73 	32.6467	3  	9.06248
142	231   	2189.6 	83.3391	3.02224	210.368	59 	32.3733	3  	8.95362
143	217   	2388.06	64.0317	3.02224	154.129	57 	31.88  	3  	8.97249
144	205   	1119.71	54.6513	3.02224	95.147 	53 	32.4933	3  	7.90337
145	197   	549.354	53.9569	3.02224	83.3957	53 	32.6267	3  	8.00129
146	223   	518.651	61.6852	3.02224	82.553 	61 	31.4667	1  	10.0649
147	221   	1417.4 	60.3562	3.02224	111.705	67 	31.6733	1  	10.0843
148	230   	1255.49	65.6185	3.02224	106.599	63 	32.16  	3  	9.28014
149	222   	2804.24	79.085 	3.02224	218.303	69 	32.8133	3  	9.58567
150	222   	4604.24	69.9507	3.02224	272.955	67 	33.92  	3  	8.19473
151	220   	2167.45	57.0714	3.02224	140.722	69 	33.0867	1  	9.05718
152	226   	2769.39	59.9872	3.02224	171.509	65 	33.62  	3  	8.39378
153	224   	514.142	60.9634	3.02224	78.5369	69 	32.8733	1  	10.0743
154	213   	5366.83	79.9854	3.02224	342.767	69 	34.22  	3  	9.36046
155	224   	539.672	53.1815	3.02224	78.5767	69 	33.58  	3  	9.05963
156	221   	2697.21	60.0962	3.02224	167.875	57 	33.4667	3  	9.03155
157	225   	494.007	48.055 	3.02224	65.5206	65 	34.5867	3  	7.98765
158	224   	835.16 	65.7935	3.02224	103.229	69 	33.1733	3  	10.4867
159	214   	748.406	57.7342	3.02224	90.958 	71 	32.98  	1  	11.0941
160	213   	1486.8 	61.6898	3.02224	119.806	75 	34.2467	3  	9.93206
161	213   	635.401	55.2035	3.02224	79.6023	67 	33.4133	3  	9.52973
162	230   	951.484	69.8297	2.59298	116.034	71 	34.06  	3  	9.85409
163	219   	950.996	67.5949	3.02224	100.424	69 	33.34  	1  	10.2452
164	202   	748.406	50.6088	3.02224	81.1475	71 	33.8667	3  	8.85864
165	236   	2672.93	67.4488	3.02224	170.653	71 	34.7533	3  	9.22781
166	207   	2672.93	72.6603	3.02224	205.644	67 	34.0267	3  	9.32877
167	222   	2452.23	81.8127	3.02224	228.657	75 	33.18  	3  	10.9487
168	232   	1997.15	70.1133	3.02224	147.942	59 	32.7533	1  	10.5442
169	218   	536.122	58.3201	3.02224	74.9854	67 	33.1467	1  	10.7097
170	194   	409.233	45.8268	3.02224	64.4591	57 	33.7467	1  	9.01568
171	200   	2672.93	55.7239	3.02224	165.516	59 	33.2067	3  	9.82364
172	205   	479.405	53.3196	2.59298	78.4834	59 	34.2267	3  	8.13974
173	218   	778.578	52.5398	2.59298	80.2816	61 	34.0733	3  	8.82466
174	227   	2167.45	72.4201	2.59298	153.287	69 	33.5267	3  	9.74214
175	220   	564.67 	48.1171	2.59298	67.9795	59 	34.08  	3  	8.71208
176	217   	897.924	53.546 	2.59298	86.9704	67 	33.0267	1  	10.1324
177	221   	932.452	53.2739	2.59298	85.0552	69 	33.4133	1  	10.0248
178	231   	1009.5 	57.0803	2.59298	88.5673	53 	34.2   	3  	8.29618
179	229   	2637.78	66.5164	2.59298	176.268	69 	33.3   	3  	10.0334
180	228   	603.819	63.1223	2.59298	86.8635	57 	34.18  	3  	8.78679
181	218   	830.081	48.306 	2.59298	72.0858	59 	33.5467	3  	9.21563
182	211   	2706.3 	66.8856	2.59298	174.715	69 	33.7733	3  	9.82184
183	220   	2217.17	67.6156	2.59298	174.626	67 	33.74  	1  	9.78702
184	195   	1362.31	55.2817	2.59298	107.514	65 	34.0867	3  	8.54824
185	237   	2522.68	63.5592	2.59298	163.108	67 	34.36  	3  	8.67124
186	218   	2235.25	69.463 	2.59298	209.653	67 	33.7533	1  	9.36692
187	224   	495.325	51.3482	2.59298	65.6417	47 	33.1867	3  	9.485
188	223   	2709.31	75.8701	2.59298	250.459	63 	34.2333	3  	8.87162
189	215   	957.043	57.2401	2.59298	103.231	57 	33.42  	3  	9.34792
190	226   	1752.65	56.451 	2.59298	122.929	67 	33.92  	3  	9.00409
191	195   	2946.24	60.9037	2.59298	184.913	61 	34.1067	3  	8.46652
192	219   	788.995	60.3835	2.59298	107.314	61 	34.1667	3  	8.67557
193	203   	2709.31	63.9938	2.59298	196.81 	75 	33.8067	3  	10.0758
